Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,2,2.5,-3425471201373567303,7177535778225614788,0.003381893860561915,0.2875
1,2,5.0,1743562681583911372,-781818568782754099,0.0044224765868886564,0.0875
2,1,3.0,-634235512218672317,3194155211216160655,0.015608740894901153,0.25
3,100,1005.48,4573602390136615456,-1335902610975299123,NaN,0.0
4,1,2.0,7727698803468232671,119000909339887623,0.023413111342351727,0.375
5,1,6.0,-8151956590085995169,3245733842183859371,0.005723204994797087,0.025
6,2,3.0,4691417812913528696,7191747682744257549,-0.0010405827263267461,0.2
7,1,6.0,-5915987352963998484,-8467330026394408832,-0.004682622268470342,0.025
8,1,6.0,3204884787806628041,-903502959864294656,0.005723204994797087,0.025
9,3,4.0,-2499490633746700416,-4366844912177165754,0.003121748178980236,0.15
10,100,986.94,554434583449688628,-7467810419737853106,NaN,0.0
11,1,1.0,812026012890471193,1246514861840593288,0.03225806451612906,0.55
12,1,2.0,1572214956138942163,5086263882365239885,0.008324661810613936,0.4
13,2,2.5,-4617890066003731917,-1004717538955411879,-0.012226847034339215,0.2875
14,1,4.0,3272243409014419661,-4957385309142928053,0.003121748178980226,0.15
15,2,3.0,8800155737183762485,-2554211610182268282,-0.001560874089490107,0.17500000000000002
16,2,1.5,4279710531976008938,8304233450354982883,0.01352757544224766,0.4
17,2,4.0,4989724967244058926,-6494771946813505010,0.004942767950052027,0.1125
18,1,3.0,-272284894795711640,7590147765836682130,0.022892819979188347,0.1
19,1,1.0,-6782860337630926656,7953121083345669842,0.03225806451612906,0.55
20,1,8.0,2047117919440783886,-2197924531768925047,0.005723204994797087,0.025
21,1,3.0,-8241111378268404644,413972992964856712,0.007804370447450576,0.125
22,1,3.0,166849603452392322,-5931172331553974332,0.018210197710718006,0.125
23,1,4.0,-8324528905749089105,5832342346529665525,-0.004682622268470342,0.025
24,1,2.0,-8038289136902963241,-379555028035371430,-0.007284079084287201,0.15
25,1,1.0,1834725618204263003,-6773208249322145701,0.04838709677419356,0.575
26,1,1.0,1978752409064106602,6552897303084397079,0.03225806451612906,0.55
27,2,4.5,2458725145702904298,7455220552471302703,0.001560874089490116,0.075
28,1,4.0,6909921509347559661,-8370391785603258553,0.005723204994797087,0.025
29,1,2.0,-749047247320624385,-6043753371732244465,0.022372528616024977,0.325
