Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,3,3.0,-9135264219944816664,-4170839310752060423,0.036940686784599365,0.35833333333333334
1,3,5.333333333333333,-6970019261555608491,6637456053905217604,0.021331945889698226,0.275
2,3,2.0,7495156895743000370,9084115387020215246,0.02844259451959763,0.36666666666666664
3,3,2.6666666666666665,-94727898626380715,8669768672924734380,0.025494276795005207,0.3083333333333333
4,3,4.0,6565892200155805630,-9210950363997588286,0.0163024627124523,0.2833333333333334
5,3,2.6666666666666665,3792778121158126172,-3246744019131237220,0.02774887270204648,0.3333333333333333
6,3,2.6666666666666665,-7506666309343057371,-2305117862314156222,0.03850156087408949,0.35000000000000003
7,3,2.3333333333333335,3067036520714312206,5037498403538105886,0.03746097814776275,0.3
8,3,4.0,-3213644572916114006,330243034697697080,0.01526187998612557,0.23333333333333336
9,3,5.666666666666667,2962477786232483183,-3108792280960384693,0.009885535900104062,0.22499999999999998
10,3,2.0,-6929572361441950729,3641664059603011711,0.04856052722858134,0.3333333333333333
11,3,2.6666666666666665,-894554622491502150,-8634640002312353574,0.024800554977454054,0.27499999999999997
12,3,5.666666666666667,-538634307763031028,49364456508792467,0.006590357266736045,0.15
13,3,6.666666666666667,-2352583203455464080,8601756815635976697,0.04283732223378425,0.3083333333333333
14,3,2.3333333333333335,-1369694665701121932,-5541302319843740792,0.035553243149497045,0.2916666666666667
15,3,4.333333333333333,-2302328934571035725,-2767791427692665249,0.011793270898369755,0.2333333333333333
16,3,4.0,-8446782676469220167,2155249111247825469,-0.003642039542143604,0.24166666666666667
17,3,4.333333333333333,-7962210810938550060,-5858784277170484319,0.042490461325008666,0.2916666666666667
18,3,3.6666666666666665,5495097992742323737,-1552437205734615087,0.025147415886229634,0.2916666666666667
19,3,2.6666666666666665,-6704501622894099415,-282212094750319675,0.013007284079084283,0.20833333333333334
20,3,4.0,8904522683295081337,-1147904368870678444,0.011619840443981969,0.3083333333333333
21,3,3.6666666666666665,3662418549294816036,-8146400223033437420,0.01786333680194242,0.27499999999999997
22,3,3.0,-5185767791853367143,1271391017347246785,0.003988900450919187,0.275
23,3,3.6666666666666665,5828207581162496416,-9099525616580303052,0.026361429066944164,0.26666666666666666
24,3,2.0,8451254970367903880,-8468873502983921620,0.01578217134928894,0.3416666666666666
25,3,5.666666666666667,930648673765337982,5580851015306820469,0.028962885882761014,0.30833333333333335
26,3,3.6666666666666665,3920637226472465242,6630425906011564599,-0.0038154699965313923,0.15
27,3,3.6666666666666665,-2041146224183405712,5195455518393239146,0.02826916406520986,0.275
28,3,2.6666666666666665,1171952081736817433,4282702473584714954,0.009365244536940693,0.28333333333333327
29,3,3.6666666666666665,-7383726107964093676,638802095983606972,0.016302462712452316,0.2833333333333333
