Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,10,2.000000,-9135264219944816664,,0.108169,0.472500
1,10,2.100000,-6970019261555608491,,0.105307,0.460000
2,10,2.100000,7495156895743000370,,0.106452,0.465000
3,10,2.400000,-94727898626380715,,0.104735,0.457500
4,10,2.100000,6565892200155805630,,0.105307,0.460000
5,10,2.200000,3792778121158126172,,0.104735,0.457500
6,10,2.200000,-7506666309343057371,,0.107596,0.470000
7,10,2.200000,3067036520714312206,,0.106452,0.465000
8,10,2.100000,-3213644572916114006,,0.105879,0.462500
9,10,2.000000,2962477786232483183,,0.104162,0.455000
10,10,2.200000,-6929572361441950729,,0.106452,0.465000
11,10,2.200000,-894554622491502150,,0.107596,0.470000
12,10,2.000000,-538634307763031028,,0.107596,0.470000
13,10,2.000000,-2352583203455464080,,0.105879,0.462500
14,10,2.200000,-1369694665701121932,,0.107596,0.470000
15,10,2.000000,-2302328934571035725,,0.108169,0.472500
16,10,2.100000,-8446782676469220167,,0.105307,0.460000
17,10,2.000000,-7962210810938550060,,0.106452,0.465000
18,10,2.100000,5495097992742323737,,0.108169,0.472500
19,10,2.100000,-6704501622894099415,,0.108169,0.472500
20,10,2.300000,8904522683295081337,,0.105307,0.460000
21,10,2.200000,3662418549294816036,,0.105879,0.462500
22,10,2.100000,-5185767791853367143,,0.106452,0.465000
23,10,2.100000,5828207581162496416,,0.105879,0.462500
24,10,2.000000,8451254970367903880,,0.107596,0.470000
25,10,2.000000,930648673765337982,,0.105307,0.460000
26,10,2.000000,3920637226472465242,,0.108169,0.472500
27,10,2.000000,-2041146224183405712,,0.107024,0.467500
28,10,2.100000,1171952081736817433,,0.108169,0.472500
29,10,2.100000,-7383726107964093676,,0.103590,0.452500
