Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,1,1.0,-7240348996590834719,,0.04838709677419356,0.575
1,1,5.0,-5311242831059256485,,0.005723204994797087,0.025
2,1,1.0,7133267839299909563,,0.016129032258064502,0.525
3,1,1.0,-4879770653013578426,,0.03225806451612906,0.55
4,1,8.0,-7978032600194138122,,0.022892819979188347,0.1
5,2,1.5,-1706805836430481502,,0.01248699271592092,0.35
6,1,1.0,5597175164159858910,,0.06451612903225806,0.6
7,1,1.0,2308274237443303783,,0.06451612903225806,0.6
8,1,4.0,5796021815880667158,,-0.004682622268470342,0.025
9,3,2.0,-7872638020691053655,,-0.0076309399930627785,0.3
10,3,1.6666666666666667,5196582072723136751,,-0.010405827263267433,0.3333333333333333
11,1,9.0,5181566153864349709,,0.005723204994797087,0.025
12,2,1.5,-911983138636948996,,0.0039021852237252908,0.3125
13,2,2.5,-9160245594678502793,,0.0039021852237252908,0.3125
14,1,4.0,6924204159067555813,,0.008844953173777311,0.175
15,1,1.0,8365669357447244296,,0.04838709677419356,0.575
16,1,3.0,3419465013329475963,,0.015608740894901153,0.25
17,1,1.0,-434629981971614393,,0.04838709677419356,0.575
18,2,4.0,8854165114489647373,,7.804370447450546E-4,0.1625
19,1,3.0,2032032855639653789,,0.001040582726326742,0.05
20,1,2.0,7228670512627652345,,0.023933402705515083,0.15
21,1,7.0,4632759219560893958,,-0.004682622268470342,0.025
22,1,1.0,8634985996155453829,,0.0,0.5
23,1,2.0,5238685447327365381,,-0.015608740894901134,0.25
24,1,1.0,-5112783292783499793,,0.08064516129032256,0.625
25,2,1.5,8558643142744130008,,2.601456815816937E-4,0.3875
26,1,3.0,-8353632230263879998,,0.040062434963579606,0.175
27,2,3.0,-4193303632596949779,,0.010405827263267437,0.25
28,2,4.5,1007458335645561706,,0.0028616024973985433,0.2625
29,1,5.0,-7073872138731293804,,0.02861602497398543,0.125
