Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,3,25.0,-431687840736368495,,NaN,0.0
1,3,19.666666666666668,-4217214785401613326,,NaN,0.0
2,3,25.0,4719984949727971368,,NaN,0.0
3,3,24.0,-37738182846372392,,NaN,0.0
4,3,20.666666666666668,-7581346102043770702,,NaN,0.0
5,3,20.0,8201918440108405914,,NaN,0.0
6,3,25.666666666666668,-4235197539150920809,,NaN,0.0
7,3,10.666666666666666,8550769173833875090,,0.011446409989594173,0.05000000000000001
8,3,26.0,8831275599891947047,,NaN,0.0
9,3,18.0,1813991093555504661,,NaN,0.0
10,3,20.666666666666668,8877039495818675475,,NaN,0.0
11,3,24.666666666666668,7458296124606770188,,NaN,0.0
12,3,17.333333333333332,4450666840951694110,,NaN,0.0
13,3,26.666666666666668,2755557405874651075,,NaN,0.0
14,3,26.0,5619561175235305235,,NaN,0.0
15,3,20.666666666666668,-7028237669830264831,,NaN,0.0
16,3,31.333333333333332,2576879553012763897,,NaN,0.0
17,3,22.0,-2942635254356194985,,NaN,0.0
18,3,26.0,5786859084948307589,,NaN,0.0
19,3,22.0,-2758416753212600899,,NaN,0.0
20,3,29.0,4024271205979940559,,NaN,0.0
21,3,11.666666666666666,4165336601527464282,,0.022892819979188347,0.09999999999999999
22,3,3.6666666666666665,9180961204476577096,,0.03919528269164066,0.21666666666666667
23,3,24.333333333333332,8184737830447503522,,NaN,0.0
24,3,21.666666666666668,-2021727724340311061,,NaN,0.0
25,3,22.666666666666668,6179611165656159142,,NaN,0.0
26,3,26.333333333333332,2172688933844939955,,NaN,0.0
27,3,21.0,-1149764589101141338,,NaN,0.0
28,3,3.3333333333333335,-8218355022469219764,,0.013701005896635454,0.24166666666666667
29,3,26.666666666666668,1469930637003476971,,NaN,0.0
