Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,1,3.0,-7043758742217982857,-1403849922141877041,0.029656607700312174,0.675
1,100,149.95,8707954276765923475,3494007887878791894,NaN,0.0
2,100,149.67,4662079647706855674,7508633387557572112,NaN,0.0
3,1,3.0,-4802810422631167565,2110582207879962317,0.02861602497398543,0.125
4,100,146.51,3996895840604163169,-4558074103550828052,NaN,0.0
5,1,3.0,7248772592320880373,-6497413403819409192,-0.004682622268470342,0.025
6,1,3.0,-583284472280717930,-63629750025840530,0.022892819979188347,0.1
7,1,2.0,5450613601987745598,5317663865973900746,-0.019771071800208113,0.05
8,100,151.17,2465215686545525737,-6431331078986689710,NaN,0.0
9,2,5.5,-5925965430943097785,6335592021948362104,0.0039021852237252855,0.0625
10,100,149.8,4073465034293261895,4313741267396126206,NaN,0.0
11,1,1.0,5500982552707870460,2526214733742792147,0.005202913631633711,0.25
12,1,1.0,-8087152709295267412,2648742619017773235,-0.006763787721123762,0.925
13,100,152.54,2463345219707692294,-8046758488844639432,NaN,0.0
14,2,4.5,-1573151565400991018,-2616708676771079425,-0.004422476586888635,0.4125
15,100,149.59,6575360535712148390,-1805582480024280570,NaN,0.0
16,1,2.0,8545452842038112058,-5035950286776692362,0.01716961498439126,0.075
17,1,13.0,4559753183287092164,-2456035611707470479,0.005723204994797087,0.025
18,100,151.5,-7717894359530931909,6277288492815411873,NaN,0.0
19,1,2.0,-340603513212638393,5309663397769344917,0.017689906347554615,0.85
20,100,155.7,7203957500691921817,-6738524278293317835,NaN,0.0
21,1,1.0,-7368748405856802905,4420578218855567053,0.003121748178980226,0.15
22,1,6.0,7591611675976974375,8683199086055408007,0.011446409989594173,0.05
23,3,2.0,-8780158238612052545,1111228063567223878,-0.020638224072147052,0.25833333333333336
24,1,2.0,-9186212156855358016,5178310774042738751,0.011446409989594173,0.05
25,2,3.0,1412406304787882727,4244944510404761550,-0.03720083246618105,0.3375
26,1,4.0,2476015689387133307,-5195625406954602421,-0.05359001040582721,0.675
27,100,149.36,3685151638898250562,3537160750040737009,NaN,0.0
28,1,2.0,3374496202386331421,-5074875818431890921,0.022892819979188347,0.1
29,100,150.64,-4440044104520074924,-6245763461864010426,NaN,0.0
