Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,3,1.6666666666666667,-6895219797396898833,6833853021077970648,0.025667707249393004,0.39999999999999997
1,3,2.6666666666666665,-2439865181434825251,-1160107574958418559,-0.01005896635449185,0.3499999999999999
2,3,3.0,4528284861330017334,6143449298173083340,-0.006416926812348234,0.275
3,3,2.3333333333333335,1013285973707035652,2645836815087893980,0.01716961498439126,0.075
4,3,3.0,-4729146553861747838,-7869315339443403973,0.008498092265001743,0.325
5,3,4.666666666666667,5562513768199387066,-7055230652331468534,0.004335761359694777,0.2916666666666667
6,3,2.6666666666666665,-8463131996988494541,1754853268653281259,0.009191814082552896,0.525
7,3,2.6666666666666665,7477091039883941444,-6514839043725914429,0.025320846340617417,0.5499999999999999
8,3,2.6666666666666665,-790856875369815867,-6393550795756033397,0.018036767256330227,0.3666666666666667
9,3,3.0,6020670674264688179,-2859141824270327618,0.003295178633368022,0.2416666666666666
10,3,2.3333333333333335,-4983436621260657530,86894984634672685,0.02237252861602497,0.15833333333333335
11,3,2.3333333333333335,-2406113371410203838,-6496777721688242878,0.009538674991328475,0.375
12,3,2.3333333333333335,-7340705491214155889,-7369619079659548172,0.0060700659035726676,0.041666666666666664
13,3,2.0,1419118055872195425,2097316877486331644,0.0026014568158168657,0.5416666666666666
14,3,2.3333333333333335,2646598452483731185,-6816046983789797620,0.013180714533472077,0.13333333333333333
15,3,2.3333333333333335,7011918472739402001,4288643670234197523,0.01439472771418662,0.27499999999999997
16,3,2.3333333333333335,-1077278908878826963,4418155890425065946,0.008671522719389526,0.08333333333333333
17,3,2.0,350260433727389426,6309553669107463801,0.0039889004509191745,0.275
18,3,2.0,-7287463681966361878,8104815271774048884,0.001734304543877915,0.4166666666666667
19,3,4.666666666666667,-7642088361817229158,4449194421920290692,0.017343045438779046,0.3333333333333333
20,3,4.0,-1247910409008020511,-1166743603966578605,-0.008671522719389518,0.25000000000000006
21,3,1.3333333333333333,287572099374122151,-4830407280247439172,0.012313562261533122,0.3416666666666666
22,3,4.0,-2629834617548713189,5179665704480943431,0.0274020117932709,0.4833333333333334
23,3,1.6666666666666667,4965133179233823767,2748223428821053430,0.010926118626430815,0.6083333333333334
24,3,11.666666666666666,-1945569270191117474,7466522121704088490,NaN,0.05833333333333333
25,3,13.0,1454036945152318166,4861615713085818017,NaN,0.075
26,3,2.0,5987428334314477796,-8127019799619380264,0.0069372181755116115,0.3333333333333333
27,3,3.3333333333333335,-2783748683795294824,-8876020750232308641,0.040062434963579606,0.17500000000000002
28,3,3.6666666666666665,1181930832955655502,-7492331706439080738,0.00919181408255289,0.35833333333333334
29,3,18.333333333333332,7002618409147988200,3632474682775057623,NaN,0.24166666666666667
