Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,10,1.300000,3394053878439304766,,0.073829,0.322500
1,10,2.100000,8031753614496833124,,0.091571,0.400000
2,10,2.100000,5749707386842579805,,0.092716,0.405000
3,10,2.100000,-7108450670121493499,,0.093861,0.410000
4,10,2.200000,4226493937843085135,,0.095578,0.417500
5,10,2.200000,-8718212088944526529,,0.090999,0.397500
6,10,2.100000,8613096305672968387,,0.090999,0.397500
7,10,1.500000,-1991451534383343133,,0.072112,0.315000
8,10,1.500000,2798483654236051920,,0.074974,0.327500
9,10,2.000000,8909983974411608792,,0.092716,0.405000
10,10,1.500000,4286777641714463834,,0.072685,0.317500
11,10,1.700000,-7431114949873425636,,0.076691,0.335000
12,10,2.100000,5999427699553298618,,0.089854,0.392500
13,10,2.100000,-3803985480541803767,,0.092716,0.405000
14,10,2.400000,3151921647258940062,,0.093861,0.410000
15,10,2.100000,1223193723853012953,,0.093861,0.410000
16,10,1.900000,2637859300016226348,,0.080697,0.352500
17,10,1.800000,1336982290880962924,,0.079553,0.347500
18,10,1.500000,-5442790682629687443,,0.078980,0.345000
19,10,1.600000,1028980390827288648,,0.081842,0.357500
20,10,1.300000,6939512748233928168,,0.072685,0.317500
21,10,2.100000,2850581160160542688,,0.086420,0.377500
22,10,2.200000,-3684115661748767091,,0.096150,0.420000
23,10,2.200000,-8938752901239521000,,0.092144,0.402500
24,10,1.700000,4687652294793308629,,0.078980,0.345000
25,10,2.200000,-1251935215777009400,,0.098439,0.430000
26,10,2.000000,3993438426385288230,,0.081270,0.355000
27,10,1.500000,2234823566502373376,,0.074974,0.327500
28,10,1.900000,-1229260075000547717,,0.081270,0.355000
29,10,2.500000,-8106860695108836149,,0.092144,0.402500
