Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,10,2.000000,-2091781416315349196,2009131599376394931,0.050937,0.222500
1,10,1.700000,-8521239748196121270,-5062402545521630803,0.052653,0.230000
2,10,1.700000,-7566401908741690337,-7252125241289603533,0.050937,0.222500
3,10,1.800000,-89773468390580512,1233806087779548067,0.050937,0.222500
4,10,1.900000,-8256524777413992071,-8961734915162739938,0.052653,0.230000
5,10,1.700000,3328494796473223585,6055639455690432392,0.050937,0.222500
6,10,1.800000,2612882295546988440,-5530452328170460038,0.052081,0.227500
7,10,1.700000,-5163372958789919374,-4720881000921804180,0.054370,0.237500
8,10,1.800000,3385433343347530987,-5728052298528108653,0.053798,0.235000
9,10,1.900000,-3847339608244300013,1755659108968164426,0.047503,0.207500
10,10,1.900000,-4101125305519763887,-8824933875414801652,0.052081,0.227500
11,10,1.700000,819175930059211411,-6143988978685274314,0.052081,0.227500
12,10,1.700000,217785903735433383,-3094566579830246602,0.049220,0.215000
13,10,1.600000,4042834825420675334,6289487539683233234,0.048647,0.212500
14,10,1.700000,3616132071585107875,430569481588912036,0.052653,0.230000
15,10,2.000000,1590451393687422326,-730080016039260922,0.049792,0.217500
16,10,1.700000,5363121094897192416,-3768014177474210306,0.048075,0.210000
17,10,1.800000,7895803878238913815,-2642318853064708881,0.046930,0.205000
18,10,2.200000,-3647089645581086152,1105819833821738517,0.054943,0.240000
19,10,2.100000,-4442192648761502019,5676534778742773015,0.052081,0.227500
20,10,1.800000,-5767197059687895463,5448226830076404536,0.050937,0.222500
21,10,2.400000,4681259504429559186,-2652893049701515289,0.052081,0.227500
22,10,1.900000,9171473416695245458,3027956314915481285,0.051509,0.225000
23,10,1.800000,1581655030637107971,210171898585629017,0.050364,0.220000
24,10,1.800000,-4468010979168714002,-7146463242709170174,0.049220,0.215000
25,10,1.800000,-4063388110868880390,5603863631075198193,0.049220,0.215000
26,10,1.800000,3878992242685108611,-5398068437603615443,0.051509,0.225000
27,10,1.700000,-6092926502412241582,-1688339251824576787,0.052081,0.227500
28,10,1.700000,3844331254771067403,1845212370632661457,0.051509,0.225000
29,10,1.900000,-6615776650209891449,-3766968229810156357,0.047503,0.207500
