Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,10,3.100000,-3425471201373567303,,0.157679,0.633898
1,10,3.100000,1743562681583911372,,0.156836,0.630508
2,10,3.300000,-634235512218672317,,0.158944,0.638983
3,10,3.200000,4573602390136615456,,0.157679,0.633898
4,10,3.100000,7727698803468232671,,0.157257,0.632203
5,10,3.000000,-8151956590085995169,,0.156836,0.630508
6,10,3.000000,4691417812913528696,,0.156836,0.630508
7,10,3.300000,-5915987352963998484,,0.158100,0.635593
8,10,3.100000,3204884787806628041,,0.157679,0.633898
9,10,3.200000,-2499490633746700416,,0.157679,0.633898
10,10,3.200000,554434583449688628,,0.158522,0.637288
11,10,3.500000,812026012890471193,,0.159365,0.640678
12,10,3.100000,1572214956138942163,,0.157257,0.632203
13,10,3.000000,-4617890066003731917,,0.157257,0.632203
14,10,3.100000,3272243409014419661,,0.158100,0.635593
15,10,3.200000,8800155737183762485,,0.157679,0.633898
16,10,3.000000,4279710531976008938,,0.157679,0.633898
17,10,3.200000,4989724967244058926,,0.157257,0.632203
18,10,3.100000,-272284894795711640,,0.157679,0.633898
19,10,3.200000,-6782860337630926656,,0.157679,0.633898
20,10,3.000000,2047117919440783886,,0.156836,0.630508
21,10,3.200000,-8241111378268404644,,0.156836,0.630508
22,10,3.200000,166849603452392322,,0.156836,0.630508
23,10,3.000000,-8324528905749089105,,0.156836,0.630508
24,10,3.000000,-8038289136902963241,,0.156836,0.630508
25,10,3.200000,1834725618204263003,,0.157679,0.633898
26,10,3.000000,1978752409064106602,,0.156836,0.630508
27,10,3.200000,2458725145702904298,,0.157257,0.632203
28,10,3.000000,6909921509347559661,,0.157679,0.633898
29,10,3.100000,-749047247320624385,,0.156836,0.630508
