Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,3,2.0,-431687840736368495,-5413206137393354739,-0.024552049104098205,0.2542372881355932
1,2,3.0,-4217214785401613326,-8368094074307124525,0.0074090148180296295,0.1694915254237288
2,1,1.0,4719984949727971368,-7412305854540729052,0.033604067208134414,0.576271186440678
3,3,1.6666666666666667,-37738182846372392,7036565899725828141,0.019592039184078366,0.37288135593220345
4,1,2.0,-7581346102043770702,6238557225044975378,0.009486018972037944,0.288135593220339
5,3,2.3333333333333335,8201918440108405914,-3881775785485145146,-0.012544691756050183,0.24858757062146894
6,1,1.0,-4235197539150920809,-4530875699600935078,0.0572261144522289,0.6271186440677966
7,2,2.5,8550769173833875090,-984133934533599420,0.012741025482050965,0.22033898305084745
8,1,2.0,8831275599891947047,-6339647962973398924,0.024676049352098703,0.3050847457627119
9,2,1.5,1813991093555504661,6848611956661955121,0.02309504619009238,0.423728813559322
10,1,3.0,8877039495818675475,2613292196263835144,0.02498604997209994,0.2033898305084746
11,1,2.0,7458296124606770188,1676119937319726938,0.06770413540827082,0.3898305084745763
12,1,1.0,4450666840951694110,5316661091969334360,0.009982019964039924,0.5254237288135594
13,2,1.5,2755557405874651075,-4217328012463504550,0.010726021452042898,0.3813559322033898
14,2,1.5,5619561175235305235,8901201980208378621,0.026753053506107016,0.423728813559322
15,3,2.0,-7028237669830264831,455968058747580529,-0.003926674520015708,0.28813559322033894
16,2,2.0,2576879553012763897,-5590693021192923435,0.02030504061008122,0.33898305084745767
17,3,2.3333333333333335,-2942635254356194985,-1545976667944623207,-0.0170500341000682,0.2598870056497175
18,1,2.0,5786859084948307589,-1286852611707183301,0.05195610391220781,0.3559322033898305
19,2,2.0,-2758416753212600899,972236851567564507,0.0014570029140058248,0.3220338983050847
20,2,1.5,4024271205979940559,4188372705781424761,0.03279806559613119,0.44067796610169485
21,2,2.5,4165336601527464282,-5103614562677322530,0.033697067394134785,0.2457627118644068
22,2,2.5,9180961204476577096,-6366226953457349254,0.01819703639407278,0.3305084745762712
23,2,2.0,8184737830447503522,3836795189548511680,-0.010912021824043652,0.2796610169491526
24,1,2.0,-2021727724340311061,1568037863796318915,0.07303614607229214,0.4406779661016949
25,3,2.0,6179611165656159142,5150017446982366504,0.013412693492053639,0.3333333333333333
26,1,1.0,2172688933844939955,-2943471427565947740,0.01785603571207142,0.5423728813559322
27,2,1.5,-1149764589101141338,-945060930945076837,0.03307706615413231,0.4491525423728813
28,2,2.5,-8218355022469219764,4823547319797321386,0.007967015934031872,0.1864406779661017
29,1,3.0,1469930637003476971,-1849593743238367985,0.03286006572013144,0.22033898305084745
