Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,3,940.0,-764607245599853704,,NaN,0.0
1,3,914.6666666666666,5111453366768774048,,NaN,0.0
2,3,958.6666666666666,3359259998313017475,,NaN,0.0
3,3,977.0,-5928949112178889842,,NaN,0.0
4,3,1018.3333333333334,4675238974331144465,,NaN,0.0
5,3,994.6666666666666,3859345984534479686,,NaN,0.0
6,3,974.3333333333334,6184398762136254953,,NaN,0.0
7,3,1027.0,-887804515442511457,,NaN,0.0
8,3,1004.0,-8415111773519823936,,NaN,0.0
9,3,964.3333333333334,-2084720021552083391,,NaN,0.0
10,3,992.6666666666666,3600937033234615502,,NaN,0.0
11,3,963.6666666666666,-6225320481379975337,,NaN,0.0
12,3,1040.3333333333333,4011777075179716510,,NaN,0.0
13,3,976.0,7534942132541200003,,NaN,0.0
14,3,1051.3333333333333,-6217076217428057307,,NaN,0.0
15,3,1011.0,-2448649402569979630,,NaN,0.0
16,3,942.6666666666666,5662933621815334934,,NaN,0.0
17,3,1013.6666666666666,8541011368592357232,,NaN,0.0
18,3,897.6666666666666,-4515436528458586252,,NaN,0.0
19,3,995.6666666666666,-8382441172151748642,,NaN,0.0
20,3,959.3333333333334,-8085045675946283416,,NaN,0.0
21,3,945.6666666666666,-7502113040355977119,,NaN,0.0
22,3,1006.0,-4960140514305592492,,NaN,0.0
23,3,1001.6666666666666,-3154011089323734019,,NaN,0.0
24,3,950.0,-1228634843133855705,,NaN,0.0
25,3,1023.6666666666666,8344551748097881891,,NaN,0.0
26,3,970.0,8799807429452078578,,NaN,0.0
27,3,1011.3333333333334,8967048287257792359,,NaN,0.0
28,3,1011.0,-2049716329279935045,,NaN,0.0
29,3,940.6666666666666,5751975750497927797,,NaN,0.0
