Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,10,4.100000,-764607245599853704,879786792327797393,0.056916,0.228814
1,10,3.600000,5111453366768774048,1486210626552977477,0.083055,0.333898
2,10,3.900000,3359259998313017475,-8005168226077749024,0.077996,0.313559
3,10,3.800000,-5928949112178889842,-2857700911431777138,0.057338,0.230508
4,10,3.700000,4675238974331144465,4706253048790361862,0.100763,0.405085
5,10,3.800000,3859345984534479686,38318742655753079,0.080526,0.323729
6,10,3.300000,6184398762136254953,7800795100640838438,0.083899,0.337288
7,10,4.300000,-887804515442511457,4725326686464138644,0.077996,0.313559
8,10,3.100000,-8415111773519823936,-5131174862336964037,0.086007,0.345763
9,10,3.900000,-2084720021552083391,2445485533087092496,0.073780,0.296610
10,10,3.900000,3600937033234615502,-5628264506523341713,0.074202,0.298305
11,10,3.400000,-6225320481379975337,2848482134108769829,0.105822,0.425424
12,10,3.200000,4011777075179716510,-2405368428180725076,0.077575,0.311864
13,10,3.600000,7534942132541200003,4719660539722161364,0.066191,0.266102
14,10,3.100000,-6217076217428057307,-6055833472838815373,0.085585,0.344068
15,10,3.700000,-2448649402569979630,3428391130714051026,0.085163,0.342373
16,10,3.500000,5662933621815334934,-1795515587795024659,0.077575,0.311864
17,10,4.100000,8541011368592357232,8193161315853132993,0.077575,0.311864
18,10,3.800000,-4515436528458586252,-8631306854726419905,0.083899,0.337288
19,10,3.700000,-8382441172151748642,5957552858215172511,0.097390,0.391525
20,10,3.200000,-8085045675946283416,-699812612590671326,0.096125,0.386441
21,10,4.100000,-7502113040355977119,-8070434519919751293,0.096968,0.389831
22,10,3.800000,-4960140514305592492,4328336557183453361,0.097811,0.393220
23,10,3.800000,-3154011089323734019,-2063291895077882235,0.070407,0.283051
24,10,3.800000,-1228634843133855705,5116049516536917637,0.082634,0.332203
25,10,3.500000,8344551748097881891,-5158537138258726658,0.088115,0.354237
26,10,3.000000,8799807429452078578,-4575265963771289858,0.084742,0.340678
27,10,3.200000,8967048287257792359,-2953976664475466767,0.100763,0.405085
28,10,3.900000,-2049716329279935045,5948244068070236131,0.074623,0.300000
29,10,4.100000,5751975750497927797,-562109005491209528,0.076310,0.306780
