Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,1,7.0,976340229801220493,-6645195634224055921,-0.0019840039680079375,0.05084745762711865
1,1,2.0,-7910174600741877041,-1826543674551077437,0.03775807551615102,0.8135593220338984
2,1,2.0,-986803214068069614,3070473492586687027,-0.008184016368032735,0.0847457627118644
3,1,4.0,-5185477647917593678,-1111305404913339007,0.008432016864033727,0.03389830508474576
4,2,2.5,1460570171212168923,2953302459731026676,-0.013392026784053572,0.09322033898305085
5,100,1108.73,-7550282398100885007,5590341096169128848,NaN,0.0
6,1,1.0,594727344823564867,2676569070171238257,-0.010044020088040175,0.6949152542372882
7,2,2.5,6535692512511528692,4195411412337972173,-0.0039990079980159925,0.211864406779661
8,2,3.0,-8118647211626895026,3529749271225437257,0.007719015438030876,0.06779661016949153
9,1,4.0,-5943115126710776622,-4309080738527851900,0.022754045508091018,0.13559322033898305
10,1,1.0,7354758028696582856,4955385334122564868,0.02083204166408331,0.9661016949152542
11,1,6.0,-1644366302335475432,6295609208121257712,0.00899001798003596,0.05084745762711865
12,1,3.0,1434871719750048430,2828176623216163892,-0.02083204166408333,0.03389830508474576
13,2,3.5,-5914735472903460920,-9034512706359606782,0.0015190030380060747,0.1016949152542373
14,1,3.0,1469584125830491853,-5741639504451708457,0.004774009548019095,0.03389830508474576
15,1,5.0,-8204811084149069148,365736598790012257,0.004774009548019095,0.03389830508474576
16,1,2.0,-159625262583219799,8985087791877823487,0.01091202182404365,0.22033898305084745
17,1,1.0,1986887483683313836,-8665280936538865998,0.07632215264430527,0.7627118644067796
18,1,2.0,-2008040158371412065,-1417401272712686156,0.025420050840101644,0.6610169491525424
19,1,3.0,-6867290789522542108,5224382229132059417,0.01909603819207638,0.13559322033898305
20,2,2.5,-8988953479736964531,-5920247411456120807,-0.001798003596007191,0.3898305084745763
21,1,2.0,-5466133510888592551,-6465813851430267138,0.008122016244032486,0.13559322033898305
22,1,2.0,-3917271009425799631,-4175977774407147060,0.01413602827205655,0.7627118644067796
23,2,2.0,305668928598953830,-4255621452356395501,-6.82001364002727E-4,0.42372881355932207
24,2,3.0,4078504486488274576,5150878816852799634,0.003503007006014011,0.05084745762711864
25,1,6.0,-5839132642987942349,509419133980743574,0.008432016864033727,0.03389830508474576
26,2,5.5,7964399402310126488,1241527279684733236,-0.0032240064480129,0.4576271186440678
27,1,3.0,303018294381507198,-7148707451629714733,-0.005704011408022825,0.2711864406779661
28,2,2.5,-4175036774578788664,7657754789486963107,0.0013950027900055785,0.0423728813559322
29,1,1.0,1047922224785075869,-1121716226742253588,0.030132060264120523,0.9152542372881356
