Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,3,4.333333333333333,-7043758742217982857,-1403849922141877041,-0.028003389340112015,0.18644067796610173
1,3,53.666666666666664,8707954276765923475,3494007887878791894,NaN,0.21468926553672316
2,3,119.33333333333333,4662079647706855674,7508633387557572112,NaN,0.03389830508474576
3,3,170.0,-4802810422631167565,2110582207879962317,NaN,0.0
4,3,54.333333333333336,3996895840604163169,-4558074103550828052,NaN,0.2994350282485876
5,3,81.0,7248772592320880373,-6497413403819409192,NaN,0.192090395480226
6,3,116.0,-583284472280717930,-63629750025840530,NaN,0.005649717514124294
7,3,264.0,5450613601987745598,5317663865973900746,NaN,0.03389830508474576
8,3,152.33333333333334,2465215686545525737,-6431331078986689710,NaN,0.2824858757062147
9,3,548.3333333333334,-5925965430943097785,6335592021948362104,NaN,0.0
10,3,241.0,4073465034293261895,4313741267396126206,NaN,0.0
11,3,463.0,5500982552707870460,2526214733742792147,NaN,0.0
12,3,503.3333333333333,-8087152709295267412,2648742619017773235,NaN,0.0
13,3,121.33333333333333,2463345219707692294,-8046758488844639432,NaN,0.0
14,3,199.0,-1573151565400991018,-2616708676771079425,NaN,0.05084745762711865
15,3,282.3333333333333,6575360535712148390,-1805582480024280570,NaN,0.02824858757062147
16,3,4.333333333333333,8545452842038112058,-5035950286776692362,-0.016161365656064648,0.10169491525423728
17,3,3.0,4559753183287092164,-2456035611707470479,0.005084010168020328,0.26553672316384175
18,3,58.0,-7717894359530931909,6277288492815411873,NaN,0.03389830508474576
19,3,274.3333333333333,-340603513212638393,5309663397769344917,NaN,0.022598870056497175
20,3,68.0,7203957500691921817,-6738524278293317835,NaN,0.005649717514124294
21,3,423.3333333333333,-7368748405856802905,4420578218855567053,NaN,0.0
22,3,881.3333333333334,7591611675976974375,8683199086055408007,NaN,0.0
23,3,631.3333333333334,-8780158238612052545,1111228063567223878,NaN,0.0
24,3,248.33333333333334,-9186212156855358016,5178310774042738751,NaN,0.0
25,3,478.0,1412406304787882727,4244944510404761550,NaN,0.0
26,3,67.66666666666667,2476015689387133307,-5195625406954602421,NaN,0.17514124293785313
27,3,244.66666666666666,3685151638898250562,3537160750040737009,NaN,0.005649717514124294
28,3,85.0,3374496202386331421,-5074875818431890921,NaN,0.2655367231638418
29,3,166.66666666666666,-4440044104520074924,-6245763461864010426,NaN,0.011299435028248588
