Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,10,3.700000,-7043758742217982857,,0.116783,0.469492
1,10,2.800000,8707954276765923475,,0.103714,0.416949
2,10,3.400000,4662079647706855674,,0.112567,0.452542
3,10,3.200000,-4802810422631167565,,0.108351,0.435593
4,10,2.900000,3996895840604163169,,0.108351,0.435593
5,10,2.900000,7248772592320880373,,0.107930,0.433898
6,10,4.400000,-583284472280717930,,0.113832,0.457627
7,10,3.200000,5450613601987745598,,0.118048,0.474576
8,10,2.600000,2465215686545525737,,0.094860,0.381356
9,10,3.800000,-5925965430943097785,,0.116362,0.467797
10,10,3.000000,4073465034293261895,,0.102449,0.411864
11,10,2.700000,5500982552707870460,,0.102449,0.411864
12,10,3.100000,-8087152709295267412,,0.113832,0.457627
13,10,2.800000,2463345219707692294,,0.098233,0.394915
14,10,3.200000,-1573151565400991018,,0.110881,0.445763
15,10,3.100000,6575360535712148390,,0.125637,0.505085
16,10,2.700000,8545452842038112058,,0.102027,0.410169
17,10,3.000000,4559753183287092164,,0.097390,0.391525
18,10,3.800000,-7717894359530931909,,0.111724,0.449153
19,10,3.400000,-340603513212638393,,0.112567,0.452542
20,10,2.800000,7203957500691921817,,0.105822,0.425424
21,10,2.600000,-7368748405856802905,,0.102871,0.413559
22,10,4.100000,7591611675976974375,,0.114675,0.461017
23,10,3.200000,-8780158238612052545,,0.116783,0.469492
24,10,3.200000,-9186212156855358016,,0.108351,0.435593
25,10,3.900000,1412406304787882727,,0.120999,0.486441
26,10,2.800000,2476015689387133307,,0.098233,0.394915
27,10,2.900000,3685151638898250562,,0.103292,0.415254
28,10,2.200000,3374496202386331421,,0.097390,0.391525
29,10,3.500000,-4440044104520074924,,0.114675,0.461017
