Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,2,3.5,2312933556503922202,,0.027218054436108866,0.2711864406779661
1,2,1.0,1623746624195371394,,0.00936201872403744,0.728813559322034
2,100,219.77,-300199885222706728,,NaN,0.0
3,1,12.0,9063969861145831604,,0.018538037076074147,0.11864406779661017
4,3,1.3333333333333333,-7883181465040776146,,-0.017546035092070183,0.3559322033898305
5,1,2.0,-1708826431225653022,,0.025854051708103416,0.11864406779661017
6,1,4.0,-3740374691696036127,,-3.100006200012381E-4,0.1016949152542373
7,3,5.333333333333333,-8746758384182436901,,0.0042160084320168635,0.01694915254237288
8,1,2.0,7159032622376190461,,0.03087606175212351,0.2711864406779661
9,2,1.5,6539035543309269594,,-3.1000062000123823E-4,0.1016949152542373
10,2,1.0,5181336176327918308,,0.00883501767003534,0.6016949152542374
11,2,4.0,8290769300737334066,,0.0059210118420236785,0.4576271186440678
12,100,220.52,2232469074020348073,,NaN,0.0
13,1,1.0,-4300740649983311417,,0.038564077128154205,0.9491525423728814
14,1,7.0,6671740661224657310,,0.0042160084320168635,0.01694915254237288
15,2,4.5,6212941679649914816,,-0.00616901233802467,0.423728813559322
16,2,1.5,-5744366105306978773,,0.00396800793601586,0.3983050847457627
17,2,2.0,8175914097437445626,,-0.01429102858205718,0.788135593220339
18,1,1.0,-2643185762346963743,,0.015500031000062,0.9152542372881356
19,2,3.5,6644007860430012607,,-0.01711203422406846,0.3135593220338983
20,1,2.0,8069379550636282830,,0.013330026660053326,0.6271186440677966
21,2,1.0,1631485365346339639,,0.02876805753611505,0.7627118644067796
22,2,2.5,-3297336317027570926,,-0.016864033728067468,0.4322033898305085
23,3,5.0,-7135761183860324834,,2.686672040010752E-4,0.04519774011299435
24,2,1.5,1943110398027754674,,0.014074028148056292,0.4830508474576271
25,100,220.48,-2083284686637568585,,NaN,0.0
26,1,2.0,2235787899877813675,,0.004588009176018333,0.6949152542372882
27,1,3.0,-514998872219661569,,0.042160084320168635,0.1694915254237288
28,2,2.5,-2560420691191673782,,-0.008959017918035843,0.3389830508474576
29,3,2.6666666666666665,4613152192813202470,,-0.006076012152024301,0.2598870056497175
