Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,3,9097.333333333334,3394053878439304766,,NaN,0.0
1,3,10103.0,8031753614496833124,,NaN,0.0
2,3,10108.0,5749707386842579805,,NaN,0.0
3,3,9936.666666666666,-7108450670121493499,,NaN,0.0
4,3,9546.666666666666,4226493937843085135,,NaN,0.0
5,3,9349.0,-8718212088944526529,,NaN,0.0
6,3,9778.0,8613096305672968387,,NaN,0.0
7,3,10113.0,-1991451534383343133,,NaN,0.0
8,3,9906.0,2798483654236051920,,NaN,0.0
9,3,9964.333333333334,8909983974411608792,,NaN,0.0
10,3,10279.666666666666,4286777641714463834,,NaN,0.0
11,3,9744.333333333334,-7431114949873425636,,NaN,0.0
12,3,9993.333333333334,5999427699553298618,,NaN,0.0
13,3,10093.666666666666,-3803985480541803767,,NaN,0.0
14,3,10421.0,3151921647258940062,,NaN,0.0
15,3,9644.666666666666,1223193723853012953,,NaN,0.0
16,3,9516.666666666666,2637859300016226348,,NaN,0.0
17,3,9812.0,1336982290880962924,,NaN,0.0
18,3,9914.0,-5442790682629687443,,NaN,0.0
19,3,10236.0,1028980390827288648,,NaN,0.0
20,3,9247.0,6939512748233928168,,NaN,0.0
21,3,9748.333333333334,2850581160160542688,,NaN,0.0
22,3,8934.333333333334,-3684115661748767091,,NaN,0.0
23,3,9947.333333333334,-8938752901239521000,,NaN,0.0
24,3,9321.666666666666,4687652294793308629,,NaN,0.0
25,3,9805.666666666666,-1251935215777009400,,NaN,0.0
26,3,9788.333333333334,3993438426385288230,,NaN,0.0
27,3,9113.666666666666,2234823566502373376,,NaN,0.0
28,3,9791.666666666666,-1229260075000547717,,NaN,0.0
29,3,10258.0,-8106860695108836149,,NaN,0.0
