Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,10,2.200000,3394053878439304766,-4709125666590644924,0.053122,0.213559
1,10,2.400000,8031753614496833124,8524694965479837752,0.051857,0.208475
2,10,2.600000,5749707386842579805,-1080808054858591862,0.036679,0.147458
3,10,3.200000,-7108450670121493499,-6173171604700138283,0.077575,0.311864
4,10,4.200000,4226493937843085135,4118024146015205462,0.056129,0.227119
5,10,2.700000,-8718212088944526529,6384886276570705661,0.054808,0.220339
6,10,3.300000,8613096305672968387,4714267896173556819,0.061554,0.247458
7,10,3.700000,-1991451534383343133,-7833250438825797355,0.067456,0.271186
8,10,472.200000,2798483654236051920,2772656731903708594,0.000000,0.000000
9,10,364.800000,8909983974411608792,2947868464888805394,0.000000,0.000000
10,10,2.900000,4286777641714463834,-1671940384844389299,0.051014,0.205085
11,10,2.400000,-7431114949873425636,7499758332406672445,0.049860,0.203390
12,10,3.700000,5999427699553298618,7351988492660922383,0.045533,0.183051
13,10,2.400000,-3803985480541803767,-7364553517575509446,0.031198,0.125424
14,10,2.200000,3151921647258940062,7498752524952474514,0.037101,0.149153
15,10,174.700000,1223193723853012953,589102651432304710,0.000000,0.000000
16,10,3.100000,2637859300016226348,-2293246980618511095,0.058603,0.235593
17,10,2.500000,1336982290880962924,7090307376504040383,0.064927,0.261017
18,10,2.400000,-5442790682629687443,-4315297922638474913,0.072094,0.289831
19,10,4.600000,1028980390827288648,-7655903594230463767,0.082380,0.335593
20,10,3.700000,6939512748233928168,-489550560723915360,0.062397,0.250847
21,10,2.200000,2850581160160542688,-5155149602563524882,0.049749,0.200000
22,10,3.300000,-3684115661748767091,-5106765539353851240,0.093230,0.376271
23,10,2.600000,-8938752901239521000,3062116792702120486,0.040052,0.161017
24,10,2.300000,4687652294793308629,5538490725010370233,0.053965,0.216949
25,10,2.800000,-1251935215777009400,8386393818981783193,0.050171,0.201695
26,10,2.700000,3993438426385288230,8588248674537855553,0.038843,0.157627
27,10,3.200000,2234823566502373376,-2825911602729656127,0.051435,0.206780
28,10,2.900000,-1229260075000547717,-9188395821513330277,0.064561,0.261017
29,10,2.400000,-8106860695108836149,-4223695367652232557,0.035948,0.147458
