Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,2,3.5,-848824146934103081,4647572209147010925,0.006286621093749995,0.15540540540540543
1,1,2.0,-6800460159562124750,628797658905182438,0.018310546875000007,0.2972972972972973
2,1,3.0,6021178273115038252,7989237484258554892,0.0313720703125,0.20270270270270271
3,1,3.0,7173382546674830192,7889922513245169425,0.0338134765625,0.17567567567567569
4,2,1.5,-5566646820681360877,-4711048093505805677,0.020263671874999997,0.42567567567567566
5,2,2.0,-802984674417843455,1810905663448159508,0.02801513671875,0.36486486486486486
6,1,1.0,729374036688956726,6907925731473263010,0.0546875,0.5945945945945946
7,1,2.0,-6645438448803013788,7254380031808623337,0.008422851562500003,0.25675675675675674
8,1,3.0,-5440192332906263051,2906898987583699975,0.03503417968750001,0.16216216216216217
9,1,2.0,7372731295878355850,-7739762557818490155,0.009643554687500003,0.24324324324324326
10,2,1.5,7559723218559569512,7885682695561456518,0.008728027343749997,0.3783783783783784
11,2,2.5,-2041798777798492300,2158970058288874444,0.021728515625,0.20945945945945948
12,3,2.6666666666666665,8293878783455820708,-550653521351656483,-0.008585611979166666,0.21171171171171174
13,4,5.0,748085726950485786,2703749065086043667,-0.005584716796875,0.07432432432432433
14,1,4.0,7052836122627795262,2786064545401930242,0.0140380859375,0.0945945945945946
15,2,4.0,-6101070834089967730,-1801555706786249177,-7.324218750000035E-4,0.10810810810810811
16,2,2.0,26467550493372684,7523290048960656302,0.01031494140625,0.3108108108108108
17,2,4.0,-1646561087397723551,2597765018424164829,0.0017089843749999991,0.08108108108108109
18,2,2.5,-2817946956669719758,-2706420884870296802,0.021545410156249993,0.2364864864864865
19,2,4.0,-1456660832465803451,-5533078856468186166,-9.765625000000022E-4,0.060810810810810814
20,2,3.5,6534098222959338076,-4012146199578270952,7.32421875E-4,0.14189189189189189
21,2,3.5,8513711055398015987,6640064877415588068,-0.005432128906250005,0.13513513513513514
22,1,4.0,-4606180441082329016,5973930380295311147,0.0098876953125,0.04054054054054054
23,1,1.0,3804064954738234959,-1844933601513823127,-0.015625,0.47297297297297297
24,3,4.666666666666667,1073869873656737415,5231869442811196475,-0.009928385416666668,0.07657657657657659
25,2,3.0,-3555603647260437303,6180837787415836159,-0.017761230468750003,0.12162162162162163
26,2,3.0,-6852159932610050173,-5238419390281800388,-0.0037841796874999965,0.14189189189189189
27,2,1.5,-8065512595186474747,-923275058526456292,0.0323486328125,0.3918918918918919
28,2,2.5,335668764404659139,-4061310949762922435,-0.0186767578125,0.2567567567567568
29,2,1.5,-8440963628104396611,-3122802960089150297,-7.324218749999965E-4,0.3581081081081081
