Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,10,3.300000,-9135264219944816664,,0.118323,0.485135
1,10,3.100000,-6970019261555608491,,0.117664,0.482432
2,10,3.100000,7495156895743000370,,0.117993,0.483784
3,10,3.100000,-94727898626380715,,0.117664,0.482432
4,10,3.100000,6565892200155805630,,0.117993,0.483784
5,10,3.100000,3792778121158126172,,0.117993,0.483784
6,10,3.200000,-7506666309343057371,,0.118323,0.485135
7,10,3.000000,3067036520714312206,,0.117993,0.483784
8,10,3.100000,-3213644572916114006,,0.117664,0.482432
9,10,3.200000,2962477786232483183,,0.117993,0.483784
10,10,3.100000,-6929572361441950729,,0.117664,0.482432
11,10,3.100000,-894554622491502150,,0.117993,0.483784
12,10,3.100000,-538634307763031028,,0.117993,0.483784
13,10,3.100000,-2352583203455464080,,0.116345,0.477027
14,10,3.000000,-1369694665701121932,,0.117993,0.483784
15,10,3.100000,-2302328934571035725,,0.117993,0.483784
16,10,3.200000,-8446782676469220167,,0.117004,0.479730
17,10,3.000000,-7962210810938550060,,0.117993,0.483784
18,10,3.000000,5495097992742323737,,0.116016,0.475676
19,10,3.200000,-6704501622894099415,,0.118323,0.485135
20,10,3.100000,8904522683295081337,,0.117334,0.481081
21,10,3.300000,3662418549294816036,,0.118652,0.486486
22,10,3.100000,-5185767791853367143,,0.116016,0.475676
23,10,3.100000,5828207581162496416,,0.117664,0.482432
24,10,3.100000,8451254970367903880,,0.117004,0.479730
25,10,3.100000,930648673765337982,,0.117004,0.479730
26,10,3.100000,3920637226472465242,,0.117993,0.483784
27,10,3.100000,-2041146224183405712,,0.117993,0.483784
28,10,3.000000,1171952081736817433,,0.117664,0.482432
29,10,3.100000,-7383726107964093676,,0.117664,0.482432
