Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,3,108.33333333333333,-7240348996590834719,-649113631171056374,NaN,0.05405405405405406
1,3,155.33333333333334,-5311242831059256485,1682225389562509045,NaN,0.031531531531531536
2,3,3.0,7133267839299909563,-4714089382138231667,0.001627604166666669,0.14864864864864866
3,3,244.33333333333334,-4879770653013578426,1743514892481875523,NaN,0.013513513513513514
4,3,638.3333333333334,-7978032600194138122,-8506708352716241413,NaN,0.0
5,3,5.0,-1706805836430481502,-7372439630335149007,-0.001586914062500001,0.06756756756756757
6,3,58.666666666666664,5597175164159858910,-1314549486717729523,NaN,0.09459459459459459
7,3,146.33333333333334,2308274237443303783,-5703765998237526107,NaN,0.0045045045045045045
8,3,4.333333333333333,5796021815880667158,-2356988597793317118,2.4414062499999883E-4,0.13063063063063066
9,3,4.666666666666667,-7872638020691053655,565554973646066603,-0.005330403645833333,0.17567567567567566
10,3,186.66666666666666,5196582072723136751,6717808245086897587,NaN,0.022522522522522525
11,3,61.0,5181566153864349709,7730761719789769388,NaN,0.16666666666666666
12,3,150.33333333333334,-911983138636948996,-8679575302985472027,NaN,0.009009009009009009
13,3,174.0,-9160245594678502793,-5529414032359982882,NaN,0.06306306306306307
14,3,3.6666666666666665,6924204159067555813,-7020763375801496866,0.014811197916666666,0.20270270270270271
15,3,264.6666666666667,8365669357447244296,9211909089472819710,NaN,0.009009009009009009
16,3,74.33333333333333,3419465013329475963,-1908794857114883782,NaN,0.031531531531531536
17,3,164.33333333333334,-434629981971614393,1577154286954618429,NaN,0.0045045045045045045
18,3,509.3333333333333,8854165114489647373,-4393947972621587714,NaN,0.0
19,3,246.33333333333334,2032032855639653789,-4201345819965007241,NaN,0.06756756756756757
20,3,109.0,7228670512627652345,-1408616201096164627,NaN,0.018018018018018018
21,3,4.666666666666667,4632759219560893958,835278123915073450,0.0067952473958333365,0.10810810810810811
22,3,189.66666666666666,8634985996155453829,-8263107857487659750,NaN,0.009009009009009009
23,3,6.333333333333333,5238685447327365381,8416925500042982821,0.017496744791666668,0.13963963963963963
24,3,169.66666666666666,-5112783292783499793,8488022209096854206,NaN,0.02702702702702703
25,3,51.333333333333336,8558643142744130008,-1437595776588704513,NaN,0.022522522522522525
26,3,101.66666666666667,-8353632230263879998,-8140556884229400757,NaN,0.16666666666666666
27,3,57.333333333333336,-4193303632596949779,-7349375526157249462,NaN,0.013513513513513514
28,3,5.666666666666667,1007458335645561706,7919329704551105216,0.008138020833333334,0.07657657657657659
29,3,120.66666666666667,-7073872138731293804,-969701899926180727,NaN,0.02702702702702703
