Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,10,3.000000,-7240348996590834719,-649113631171056374,0.073499,0.301351
1,10,3.200000,-5311242831059256485,1682225389562509045,0.057678,0.236486
2,10,3.200000,7133267839299909563,-4714089382138231667,0.085693,0.351351
3,10,3.000000,-4879770653013578426,1743514892481875523,0.082068,0.336486
4,10,364.400000,-7978032600194138122,-8506708352716241413,0.000000,0.000000
5,10,2.900000,-1706805836430481502,-7372439630335149007,0.075806,0.310811
6,10,3.300000,5597175164159858910,-1314549486717729523,0.075806,0.310811
7,10,3.100000,2308274237443303783,-5703765998237526107,0.073828,0.302703
8,10,3.200000,5796021815880667158,-2356988597793317118,0.088330,0.362162
9,10,3.000000,-7872638020691053655,565554973646066603,0.083716,0.343243
10,10,2.900000,5196582072723136751,6717808245086897587,0.089319,0.366216
11,10,3.100000,5181566153864349709,7730761719789769388,0.085364,0.350000
12,10,3.100000,-911983138636948996,-8679575302985472027,0.079431,0.325676
13,10,3.300000,-9160245594678502793,-5529414032359982882,0.072510,0.297297
14,10,3.700000,6924204159067555813,-7020763375801496866,0.069214,0.283784
15,10,151.400000,8365669357447244296,9211909089472819710,0.000330,0.001351
16,10,3.300000,3419465013329475963,-1908794857114883782,0.061633,0.252703
17,10,335.800000,-434629981971614393,1577154286954618429,0.000000,0.000000
18,10,3.200000,8854165114489647373,-4393947972621587714,0.057678,0.236486
19,10,3.000000,2032032855639653789,-4201345819965007241,0.076135,0.312162
20,10,3.200000,7228670512627652345,-1408616201096164627,0.069214,0.283784
21,10,3.700000,4632759219560893958,835278123915073450,0.079431,0.325676
22,10,3.400000,8634985996155453829,-8263107857487659750,0.082727,0.339189
23,10,3.100000,5238685447327365381,8416925500042982821,0.066907,0.274324
24,10,3.200000,-5112783292783499793,8488022209096854206,0.078113,0.320270
25,10,3.100000,8558643142744130008,-1437595776588704513,0.070203,0.287838
26,10,3.000000,-8353632230263879998,-8140556884229400757,0.065918,0.270270
27,10,3.000000,-4193303632596949779,-7349375526157249462,0.085034,0.348649
28,10,3.300000,1007458335645561706,7919329704551105216,0.087341,0.358108
29,10,3.100000,-7073872138731293804,-969701899926180727,0.059656,0.244595
