Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,3,226.0,-431687840736368495,,NaN,0.0
1,3,231.33333333333334,-4217214785401613326,,NaN,0.0
2,3,221.33333333333334,4719984949727971368,,NaN,0.0
3,3,211.0,-37738182846372392,,NaN,0.0
4,3,224.66666666666666,-7581346102043770702,,NaN,0.0
5,3,217.0,8201918440108405914,,NaN,0.0
6,3,229.0,-4235197539150920809,,NaN,0.0
7,3,215.0,8550769173833875090,,NaN,0.0
8,3,233.66666666666666,8831275599891947047,,NaN,0.0
9,3,218.66666666666666,1813991093555504661,,NaN,0.0
10,3,231.0,8877039495818675475,,NaN,0.0
11,3,223.33333333333334,7458296124606770188,,NaN,0.0
12,3,223.66666666666666,4450666840951694110,,NaN,0.0
13,3,227.33333333333334,2755557405874651075,,NaN,0.0
14,3,216.33333333333334,5619561175235305235,,NaN,0.0
15,3,224.66666666666666,-7028237669830264831,,NaN,0.0
16,3,204.33333333333334,2576879553012763897,,NaN,0.0
17,3,220.0,-2942635254356194985,,NaN,0.0
18,3,224.33333333333334,5786859084948307589,,NaN,0.0
19,3,226.33333333333334,-2758416753212600899,,NaN,0.0
20,3,220.0,4024271205979940559,,NaN,0.0
21,3,212.66666666666666,4165336601527464282,,NaN,0.0
22,3,203.33333333333334,9180961204476577096,,NaN,0.0
23,3,198.66666666666666,8184737830447503522,,NaN,0.0
24,3,228.66666666666666,-2021727724340311061,,NaN,0.0
25,3,222.66666666666666,6179611165656159142,,NaN,0.0
26,3,212.33333333333334,2172688933844939955,,NaN,0.0
27,3,224.66666666666666,-1149764589101141338,,NaN,0.0
28,3,219.66666666666666,-8218355022469219764,,NaN,0.0
29,3,233.66666666666666,1469930637003476971,,NaN,0.0
