Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,1,2.0,-764607245599853704,,-0.0018310546875000087,0.2702702702702703
1,2,1.0,5111453366768774048,,0.015625,0.527027027027027
2,1,6.0,3359259998313017475,,-0.00244140625,0.02702702702702703
3,1,7.0,-5928949112178889842,,0.006591796875,0.02702702702702703
4,1,5.0,4675238974331144465,,0.00537109375,0.04054054054054054
5,1,6.0,3859345984534479686,,0.006591796875,0.02702702702702703
6,2,2.0,6184398762136254953,,0.015869140625000007,0.32432432432432434
7,2,2.0,-887804515442511457,,0.0164794921875,0.31756756756756754
8,1,2.0,-8415111773519823936,,0.04089355468749999,0.2972972972972973
9,2,2.0,-2084720021552083391,,-0.0032348632812499983,0.3108108108108108
10,1,5.0,3600937033234615502,,0.006591796875,0.02702702702702703
11,1,1.0,-6225320481379975337,,-0.0078125,0.4864864864864865
12,2,1.5,4011777075179716510,,0.04205322265625,0.45945945945945943
13,1,3.0,7534942132541200003,,0.012817382812500002,0.10810810810810811
14,1,2.0,-6217076217428057307,,0.010498046875000007,0.28378378378378377
15,1,2.0,-2448649402569979630,,0.0087890625,0.20270270270270271
16,2,2.5,5662933621815334934,,0.010253906250000003,0.2364864864864865
17,1,2.0,8541011368592357232,,0.019165039062500017,0.33783783783783783
18,1,1.0,-4515436528458586252,,0.03125,0.5540540540540541
19,2,2.5,-8382441172151748642,,0.01678466796875,0.1891891891891892
20,100,313.09,-8085045675946283416,,NaN,0.0
21,1,2.0,-7502113040355977119,,0.01135253906250001,0.32432432432432434
22,1,10.0,-4960140514305592492,,0.0032958984375,0.013513513513513514
23,1,1.0,-3154011089323734019,,0.0,0.5
24,3,2.0,-1228634843133855705,,-0.01143391927083333,0.24324324324324328
25,3,3.6666666666666665,8344551748097881891,,-0.0017089843749999993,0.0855855855855856
26,2,3.0,8799807429452078578,,0.0015869140625,0.18243243243243243
27,1,1.0,8967048287257792359,,0.0390625,0.5675675675675675
28,2,3.0,-2049716329279935045,,-0.0096435546875,0.25675675675675674
29,2,2.5,5751975750497927797,,0.008789062499999993,0.2027027027027027
