Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,10,4.800000,524551114886859566,,0.171716,0.704054
1,10,3.900000,-777356871305875418,,0.156555,0.641892
2,10,4.000000,8283392934691555529,,0.158203,0.648649
3,10,4.000000,-3279810375433129492,,0.167761,0.687838
4,10,3.200000,-4980145563275602742,,0.149963,0.614865
5,10,3.800000,2196876352119362033,,0.165784,0.679730
6,10,3.900000,6755379811690263699,,0.153918,0.631081
7,10,4.000000,-3616895164650845876,,0.154907,0.635135
8,10,5.600000,8119522235495169685,,0.179297,0.735135
9,10,3.100000,1486462369054921338,,0.150623,0.617568
10,10,5.100000,-3060355893783818163,,0.183252,0.751351
11,10,5.000000,-819336394794478990,,0.185559,0.760811
12,10,4.200000,-4727168696563290255,,0.159851,0.655405
13,10,5.600000,-9220206514213470474,,0.183582,0.752703
14,10,5.100000,-8526642465217279386,,0.163147,0.668919
15,10,3.700000,-3413050695557114325,,0.154907,0.635135
16,10,5.500000,9042204722340793332,,0.189844,0.778378
17,10,5.200000,5246930415981296491,,0.183252,0.751351
18,10,3.900000,8193080305343641148,,0.162817,0.667568
19,10,3.100000,-233034162139722406,,0.137109,0.562162
20,10,4.000000,857285680024254696,,0.160510,0.658108
21,10,4.200000,-5548442615758567113,,0.153918,0.631081
22,10,4.400000,-7611929872995862876,,0.170398,0.698649
23,10,3.200000,-4183405644189413516,,0.151282,0.620270
24,10,3.900000,8741872184779976142,,0.165784,0.679730
25,10,4.700000,-811202130215740025,,0.174023,0.713514
26,10,5.200000,87872779133270121,,0.183252,0.751351
27,10,4.100000,7430688531339907330,,0.164136,0.672973
28,10,5.000000,-708073837851240618,,0.184241,0.755405
29,10,3.700000,8708071162764642273,,0.155896,0.639189
