Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,3,4.333333333333333,615701874688213321,-5007400276311477838,0.030192057291666657,0.5990990990990991
1,3,2.0,-731920045149869278,5846099771256469497,0.02555338541666666,0.6171171171171171
2,3,2.3333333333333335,1719911554806448974,3199580336204505392,0.03470865885416668,0.5990990990990991
3,3,3.0,-3392775679021497287,3037866708443872839,0.043212890625,0.6216216216216216
4,3,3.3333333333333335,7801297046502405985,2157617775262633003,0.032958984375000014,0.6351351351351351
5,3,2.6666666666666665,7698224372445293057,-5829656049355129221,0.02087402343750001,0.5855855855855855
6,3,2.6666666666666665,-2547339213636913147,-136227357419199939,0.0034179687500000074,0.4954954954954955
7,3,11.0,-1438240251348758041,1501143513731812521,0.0194091796875,0.13513513513513511
8,3,2.0,-5486907429663553238,-9063102000978051779,0.019938151041666675,0.6126126126126127
9,3,3.0,-5617604998408386434,3000735113951518647,0.050211588541666664,0.6441441441441441
10,3,3.0,-2580105511230670875,-5671212118208216656,0.052734375,0.5495495495495496
11,3,3.3333333333333335,-2667486105195054517,-1203264200981239577,0.024820963541666675,0.5585585585585585
12,3,7.666666666666667,1464519540864713059,-1342975680896576898,0.011962890625000005,0.23423423423423426
13,3,2.3333333333333335,4580329666722018780,7633583313609887924,0.0299072265625,0.5855855855855856
14,3,3.6666666666666665,1331434713066747163,2916073516075125736,0.012044270833333337,0.5
15,3,2.6666666666666665,-98693687425287393,5845332684040383714,0.026000976562500003,0.6621621621621622
16,3,6.666666666666667,-272842751338084797,5872432995371219385,0.006795247395833333,0.27477477477477474
17,3,5.666666666666667,8759335333482589168,4341468293307696080,0.037027994791666664,0.25675675675675674
18,3,4.0,-5841426530208530300,6080080566309485755,0.02640787760416667,0.490990990990991
19,3,4.0,-6694363419484950029,-5229501694884957936,0.0225830078125,0.5
20,3,3.0,-3692554466320100368,-7956571393600875668,0.031982421875000014,0.6126126126126126
21,3,2.0,1261163605720919459,911775351054434105,0.02034505208333332,0.6081081081081082
22,3,2.0,-6180516448598987725,9104494604360268273,0.02172851562500001,0.6261261261261262
23,3,4.0,-3785757993379167573,-228674030129460485,0.024414062499999983,0.5630630630630631
24,3,4.0,2883228848343041800,-4442905035025656501,0.021240234374999997,0.5315315315315315
25,3,2.6666666666666665,1370411077403006324,-3554851162527267981,-0.0028076171875000134,0.4144144144144144
26,3,2.6666666666666665,5786220188709912047,-854675858762785336,0.028564453124999997,0.6171171171171171
27,3,3.3333333333333335,-770718479953605122,1001687496713329599,0.01383463541666668,0.5135135135135135
28,3,3.6666666666666665,-7590127605899249892,7283640968570584251,0.008951822916666687,0.5675675675675675
29,3,3.0,8594417731260363763,-4270354272277888555,0.014200846354166666,0.4594594594594595
