Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,3,5.666666666666667,615701874688213321,,0.03556315104166668,0.472972972972973
1,4,2.75,-731920045149869278,,0.025299072265624993,0.5574324324324325
2,3,3.3333333333333335,1719911554806448974,,0.030029296875000003,0.5675675675675675
3,6,5.0,-3392775679021497287,,0.0145263671875,0.35585585585585583
4,2,3.5,7801297046502405985,,0.037414550781250014,0.5608108108108107
5,4,2.0,7698224372445293057,,0.03491210937500002,0.7635135135135136
6,5,4.0,-2547339213636913147,,0.022070312499999998,0.5756756756756757
7,4,2.5,-1438240251348758041,,0.03509521484375,0.6114864864864865
8,4,2.0,-5486907429663553238,,0.049530029296875,0.6891891891891893
9,5,3.0,-5617604998408386434,,0.01657714843749999,0.5864864864864866
10,4,2.25,-2580105511230670875,,0.04736328125,0.6756756756756757
11,6,3.1666666666666665,-2667486105195054517,,0.014302571614583334,0.4166666666666667
12,8,3.0,1464519540864713059,,0.037017822265625,0.5777027027027027
13,3,3.6666666666666665,4580329666722018780,,0.028645833333333343,0.5495495495495496
14,4,3.0,1331434713066747163,,0.017944335937500017,0.6013513513513514
15,2,1.5,-98693687425287393,,0.028991699218750017,0.8040540540540541
16,3,2.6666666666666665,-272842751338084797,,0.02950032552083333,0.5900900900900901
17,5,3.0,8759335333482589168,,0.0269775390625,0.5513513513513514
18,2,2.0,-5841426530208530300,,0.02972412109375001,0.6959459459459459
19,3,4.333333333333333,-6694363419484950029,,0.02384440104166666,0.536036036036036
20,4,3.5,-3692554466320100368,,0.0277099609375,0.49324324324324326
21,6,3.3333333333333335,1261163605720919459,,0.014668782552083322,0.5292792792792792
22,5,4.4,-6180516448598987725,,0.0217529296875,0.4891891891891892
23,5,5.0,-3785757993379167573,,0.032080078124999994,0.4648648648648649
24,6,3.3333333333333335,2883228848343041800,,0.0299072265625,0.5855855855855855
25,9,4.444444444444445,1370411077403006324,,0.010877821180555558,0.35735735735735735
26,4,3.25,5786220188709912047,,0.029296874999999997,0.5506756756756757
27,10,4.6,-770718479953605122,,0.02349853515625,0.4148648648648649
28,5,4.2,-7590127605899249892,,0.02546386718749999,0.508108108108108
29,6,5.5,8594417731260363763,,0.021382649739583343,0.37162162162162166
