Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,3,1.0,2312933556503922202,6963837467373399994,0.03417968750000001,0.6216216216216216
1,4,1.5,1623746624195371394,1096390368290377786,0.02542114257812499,0.5810810810810811
2,5,2.2,-300199885222706728,-1421910343069455138,0.03818359374999999,0.5972972972972973
3,2,1.5,9063969861145831604,-8944237770591983067,0.05981445312500002,0.8378378378378378
4,5,1.4,-7883181465040776146,-6606985907269639071,0.019873046874999998,0.6
5,4,1.0,-1708826431225653022,2316138845754793689,0.027770996093750007,0.8175675675675677
6,3,1.3333333333333333,-3740374691696036127,-7284610565147759094,0.03556315104166666,0.6396396396396397
7,5,2.0,-8746758384182436901,7318388547816604361,0.02888183593750001,0.5702702702702702
8,2,1.0,7159032622376190461,-1732094845756218028,0.036987304687499986,0.7905405405405406
9,5,1.0,6539035543309269594,3616596849964882586,0.0020263671874999984,0.6675675675675675
10,3,1.0,5181336176327918308,601809425840712509,0.03308105468749999,0.7837837837837838
11,5,1.2,8290769300737334066,-4039716585862569190,0.025097656250000024,0.6621621621621621
12,2,1.5,2232469074020348073,-3266542974551674530,0.04406738281250001,0.6621621621621622
13,6,1.5,-4300740649983311417,2704554310021489776,0.03342692057291668,0.704954954954955
14,5,2.0,6671740661224657310,3152364403969286715,0.03444824218750002,0.5486486486486487
15,4,1.0,6212941679649914816,-8510761112334383979,0.029479980468750003,0.7736486486486486
16,4,1.5,-5744366105306978773,-3330031700413498660,0.023895263671874993,0.597972972972973
17,3,2.0,8175914097437445626,8508625769853275394,0.02933756510416668,0.5585585585585585
18,3,1.3333333333333333,-2643185762346963743,4980229899357874588,0.04007975260416665,0.8063063063063063
19,3,1.0,6644007860430012607,7191604278756956075,0.04642740885416666,0.8693693693693693
20,4,1.25,8069379550636282830,2297188352429819456,0.03225708007812501,0.5304054054054054
21,4,1.75,1631485365346339639,5647604671404627755,0.027618408203125007,0.6317567567567568
22,5,1.4,-3297336317027570926,5486958035457062730,0.03894042968749999,0.7189189189189189
23,5,1.6,-7135761183860324834,9172839178612780608,0.015429687500000011,0.5891891891891892
24,4,1.0,1943110398027754674,1773753092532099215,0.004852294921875012,0.7837837837837838
25,4,1.5,-2083284686637568585,3844324058794707576,0.01812744140625,0.6993243243243243
26,4,1.75,2235787899877813675,8177435076290705159,0.02328491210937498,0.7297297297297297
27,4,1.5,-514998872219661569,7094231686076741164,0.02191162109374999,0.6824324324324325
28,1,1.0,-2560420691191673782,-6687874027242539548,0.0789794921875,0.6756756756756757
29,3,1.0,4613152192813202470,1243376379742508461,0.017252604166666696,0.8423423423423424
