Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,10,2.600000,-2091781416315349196,2009131599376394931,0.083386,0.341892
1,10,2.400000,-8521239748196121270,-5062402545521630803,0.041162,0.174324
2,10,2.600000,-7566401908741690337,-7252125241289603533,0.071191,0.291892
3,10,3.600000,-89773468390580512,1233806087779548067,0.070532,0.289189
4,10,3.000000,-8256524777413992071,-8961734915162739938,0.076135,0.312162
5,10,3.100000,3328494796473223585,6055639455690432392,0.050098,0.205405
6,10,2.500000,2612882295546988440,-5530452328170460038,0.091296,0.374324
7,10,2.900000,-5163372958789919374,-4720881000921804180,0.045813,0.187838
8,10,2.400000,3385433343347530987,-5728052298528108653,0.041199,0.168919
9,10,3.100000,-3847339608244300013,1755659108968164426,0.055701,0.228378
10,10,2.500000,-4101125305519763887,-8824933875414801652,0.089648,0.367568
11,10,2.800000,819175930059211411,-6143988978685274314,0.052734,0.216216
12,10,3.100000,217785903735433383,-3094566579830246602,0.084705,0.347297
13,10,2.500000,4042834825420675334,6289487539683233234,0.083386,0.341892
14,10,4.800000,3616132071585107875,430569481588912036,0.049768,0.204054
15,10,3.700000,1590451393687422326,-730080016039260922,0.052734,0.216216
16,10,2.600000,5363121094897192416,-3768014177474210306,0.086023,0.352703
17,10,2.700000,7895803878238913815,-2642318853064708881,0.050964,0.210811
18,10,2.500000,-3647089645581086152,1105819833821738517,0.087671,0.359459
19,10,2.200000,-4442192648761502019,5676534778742773015,0.093933,0.385135
20,10,2.300000,-5767197059687895463,5448226830076404536,0.094263,0.386486
21,10,2.400000,4681259504429559186,-2652893049701515289,0.055701,0.228378
22,10,2.000000,9171473416695245458,3027956314915481285,0.075354,0.310811
23,10,3.000000,1581655030637107971,210171898585629017,0.067322,0.279730
24,10,3.100000,-4468010979168714002,-7146463242709170174,0.052490,0.218919
25,10,2.800000,-4063388110868880390,5603863631075198193,0.060645,0.248649
26,10,2.900000,3878992242685108611,-5398068437603615443,0.061304,0.251351
27,10,1.900000,-6092926502412241582,-1688339251824576787,0.071936,0.298649
28,10,3.500000,3844331254771067403,1845212370632661457,0.056360,0.231081
29,10,2.600000,-6615776650209891449,-3766968229810156357,0.048120,0.197297
