Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,3,19542.666666666668,-3425471201373567303,,NaN,0.0
1,3,19251.0,1743562681583911372,,NaN,0.0
2,3,17693.0,-634235512218672317,,NaN,0.0
3,3,20557.666666666668,4573602390136615456,,NaN,0.0
4,3,20330.0,7727698803468232671,,NaN,0.0
5,3,18099.666666666668,-8151956590085995169,,NaN,0.0
6,3,20474.0,4691417812913528696,,NaN,0.0
7,3,19682.0,-5915987352963998484,,NaN,0.0
8,3,20239.0,3204884787806628041,,NaN,0.0
9,3,18380.333333333332,-2499490633746700416,,NaN,0.0
10,3,19733.666666666668,554434583449688628,,NaN,0.0
11,3,18718.333333333332,812026012890471193,,NaN,0.0
12,3,20147.0,1572214956138942163,,NaN,0.0
13,3,19809.666666666668,-4617890066003731917,,NaN,0.0
14,3,19814.333333333332,3272243409014419661,,NaN,0.0
15,3,19849.666666666668,8800155737183762485,,NaN,0.0
16,3,19780.666666666668,4279710531976008938,,NaN,0.0
17,3,20612.333333333332,4989724967244058926,,NaN,0.0
18,3,19373.0,-272284894795711640,,NaN,0.0
19,3,19181.666666666668,-6782860337630926656,,NaN,0.0
20,3,18524.666666666668,2047117919440783886,,NaN,0.0
21,3,20434.0,-8241111378268404644,,NaN,0.0
22,3,19358.666666666668,166849603452392322,,NaN,0.0
23,3,20417.0,-8324528905749089105,,NaN,0.0
24,3,19433.0,-8038289136902963241,,NaN,0.0
25,3,20382.333333333332,1834725618204263003,,NaN,0.0
26,3,20170.0,1978752409064106602,,NaN,0.0
27,3,19863.666666666668,2458725145702904298,,NaN,0.0
28,3,19432.666666666668,6909921509347559661,,NaN,0.0
29,3,20427.333333333332,-749047247320624385,,NaN,0.0
