Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,1,5.0,-3425471201373567303,,-0.009982763573685719,0.02666666666666667
1,1,4.0,1743562681583911372,,-0.007612754955472566,0.10666666666666667
2,100,11071.29,-634235512218672317,,NaN,0.0
3,100,11083.45,4573602390136615456,,NaN,0.0
4,100,11123.71,7727698803468232671,,NaN,0.0
5,100,11101.42,-8151956590085995169,,NaN,0.0
6,100,11129.34,4691417812913528696,,NaN,0.0
7,100,11096.41,-5915987352963998484,,NaN,0.0
8,100,11103.81,3204884787806628041,,NaN,0.0
9,100,11132.17,-2499490633746700416,,NaN,0.0
10,100,11101.41,554434583449688628,,NaN,0.0
11,100,11104.88,812026012890471193,,NaN,0.0
12,100,11077.25,1572214956138942163,,NaN,0.0
13,100,11122.05,-4617890066003731917,,NaN,0.0
14,100,11111.41,3272243409014419661,,NaN,0.0
15,100,11109.29,8800155737183762485,,NaN,0.0
16,100,11113.86,4279710531976008938,,NaN,0.0
17,100,11115.15,4989724967244058926,,NaN,0.0
18,100,11123.29,-272284894795711640,,NaN,0.0
19,100,11052.75,-6782860337630926656,,NaN,0.0
20,1,5.0,2047117919440783886,,0.009264579143924161,0.04
21,100,11113.24,-8241111378268404644,,NaN,0.0
22,100,11113.95,166849603452392322,,NaN,0.0
23,100,11096.58,-8324528905749089105,,NaN,0.0
24,100,11085.36,-8038289136902963241,,NaN,0.0
25,100,11112.08,1834725618204263003,,NaN,0.0
26,100,11114.61,1978752409064106602,,NaN,0.0
27,100,11087.17,2458725145702904298,,NaN,0.0
28,1,1.0,6909921509347559661,,0.0211864406779661,0.5333333333333333
29,100,11124.97,-749047247320624385,,NaN,0.0
