Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,1,1.0,-9135264219944816664,-4170839310752060423,0.0805084745762712,0.6266666666666667
1,1,1.0,-6970019261555608491,6637456053905217604,0.13135593220338987,0.7066666666666667
2,2,1.5,7495156895743000370,9084115387020215246,0.0318873886814134,0.44
3,2,1.5,-94727898626380715,8669768672924734380,0.05267882792301064,0.46
4,1,1.0,6565892200155805630,-9210950363997588286,0.03813559322033899,0.56
5,2,2.0,3792778121158126172,-3246744019131237220,0.021796897443263432,0.32666666666666666
6,1,1.0,-7506666309343057371,-2305117862314156222,0.07203389830508478,0.6133333333333333
7,4,2.0,3067036520714312206,5037498403538105886,-0.013053002010916394,0.2866666666666666
8,1,1.0,-3213644572916114006,330243034697697080,0.04661016949152541,0.5733333333333334
9,2,2.0,2962477786232483183,-3108792280960384693,0.0048477449008905455,0.3
10,1,1.0,-6929572361441950729,3641664059603011711,0.04661016949152541,0.5733333333333334
11,2,1.5,-894554622491502150,-8634640002312353574,0.07889255960930767,0.5266666666666666
12,2,3.5,-538634307763031028,49364456508792467,-0.0021904625107727685,0.15333333333333332
13,2,1.5,-2352583203455464080,8601756815635976697,0.025711002585463945,0.41333333333333333
14,1,2.0,-1369694665701121932,-5541302319843740792,0.02405917839701235,0.26666666666666666
15,1,1.0,-2302328934571035725,-2767791427692665249,0.055084745762711884,0.5866666666666667
16,1,1.0,-8446782676469220167,2155249111247825469,0.03813559322033899,0.56
17,1,1.0,-7962210810938550060,-5858784277170484319,0.07203389830508478,0.6133333333333333
18,1,1.0,5495097992742323737,-1552437205734615087,0.055084745762711884,0.5866666666666667
19,2,3.0,-6704501622894099415,-282212094750319675,0.01131140476874462,0.2
20,2,4.0,8904522683295081337,-1147904368870678444,0.011670496983625394,0.16666666666666669
21,3,1.3333333333333333,3662418549294816036,-8146400223033437420,-0.0027530403140859617,0.4222222222222222
22,2,2.5,-5185767791853367143,1271391017347246785,0.0052427463372594265,0.31333333333333335
23,1,1.0,5828207581162496416,-9099525616580303052,0.03813559322033899,0.56
24,1,1.0,8451254970367903880,-8468873502983921620,0.029661016949152574,0.5466666666666666
25,2,1.5,930648673765337982,5580851015306820469,0.016087331226659018,0.4066666666666667
26,1,1.0,3920637226472465242,6630425906011564599,0.04661016949152541,0.5733333333333334
27,1,2.0,-2041146224183405712,5195455518393239146,0.04100833093938523,0.29333333333333333
28,2,2.0,1171952081736817433,4282702473584714954,0.01720051709278944,0.35333333333333333
29,4,2.5,-7383726107964093676,638802095983606972,-0.01773915541511059,0.19666666666666666
