Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,3,494.0,-7240348996590834719,-649113631171056374,NaN,0.0
1,3,183.66666666666666,-5311242831059256485,1682225389562509045,NaN,0.0044444444444444444
2,3,95.33333333333333,7133267839299909563,-4714089382138231667,NaN,0.044444444444444446
3,3,570.3333333333334,-4879770653013578426,1743514892481875523,NaN,0.0
4,3,1590.0,-7978032600194138122,-8506708352716241413,NaN,0.0
5,3,443.0,-1706805836430481502,-7372439630335149007,NaN,0.017777777777777778
6,3,181.33333333333334,5597175164159858910,-1314549486717729523,NaN,0.04888888888888889
7,3,1135.0,2308274237443303783,-5703765998237526107,NaN,0.0
8,3,87.33333333333333,5796021815880667158,-2356988597793317118,NaN,0.06666666666666667
9,3,90.33333333333333,-7872638020691053655,565554973646066603,NaN,0.16888888888888887
10,3,189.33333333333334,5196582072723136751,6717808245086897587,NaN,0.0044444444444444444
11,3,238.33333333333334,5181566153864349709,7730761719789769388,NaN,0.06222222222222223
12,3,859.0,-911983138636948996,-8679575302985472027,NaN,0.0
13,3,359.0,-9160245594678502793,-5529414032359982882,NaN,0.008888888888888889
14,3,3.3333333333333335,6924204159067555813,-7020763375801496866,0.002729100833093951,0.21333333333333335
15,3,1072.3333333333333,8365669357447244296,9211909089472819710,NaN,0.0
16,3,1080.0,3419465013329475963,-1908794857114883782,NaN,0.0
17,3,645.6666666666666,-434629981971614393,1577154286954618429,NaN,0.0
18,3,654.3333333333334,8854165114489647373,-4393947972621587714,NaN,0.0
19,3,197.0,2032032855639653789,-4201345819965007241,NaN,0.04888888888888889
20,3,423.3333333333333,7228670512627652345,-1408616201096164627,NaN,0.0
21,3,8.666666666666666,4632759219560893958,835278123915073450,0.005673656995116347,0.04
22,3,916.3333333333334,8634985996155453829,-8263107857487659750,NaN,0.0
23,3,411.6666666666667,5238685447327365381,8416925500042982821,NaN,0.05777777777777778
24,3,421.0,-5112783292783499793,8488022209096854206,NaN,0.008888888888888889
25,3,104.66666666666667,8558643142744130008,-1437595776588704513,NaN,0.008888888888888889
26,3,351.3333333333333,-8353632230263879998,-8140556884229400757,NaN,0.08888888888888889
27,3,931.6666666666666,-4193303632596949779,-7349375526157249462,NaN,0.0
28,3,93.66666666666667,1007458335645561706,7919329704551105216,NaN,0.0044444444444444444
29,3,196.33333333333334,-7073872138731293804,-969701899926180727,NaN,0.04
