Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,10,2.000000,-7240348996590834719,,0.124763,0.538667
1,10,2.000000,-5311242831059256485,,0.124763,0.538667
2,10,2.000000,7133267839299909563,,0.123837,0.534667
3,10,2.000000,-4879770653013578426,,0.124763,0.538667
4,10,2.000000,-7978032600194138122,,0.124763,0.538667
5,10,2.000000,-1706805836430481502,,0.123837,0.534667
6,10,2.000000,5597175164159858910,,0.124763,0.538667
7,10,2.000000,2308274237443303783,,0.124763,0.538667
8,10,2.000000,5796021815880667158,,0.124454,0.537333
9,10,2.000000,-7872638020691053655,,0.124763,0.538667
10,10,2.000000,5196582072723136751,,0.123837,0.534667
11,10,2.000000,5181566153864349709,,0.124763,0.538667
12,10,2.000000,-911983138636948996,,0.124454,0.537333
13,10,2.000000,-9160245594678502793,,0.123837,0.534667
14,10,2.000000,6924204159067555813,,0.124454,0.537333
15,10,2.000000,8365669357447244296,,0.124763,0.538667
16,10,2.000000,3419465013329475963,,0.124454,0.537333
17,10,2.000000,-434629981971614393,,0.123528,0.533333
18,10,2.000000,8854165114489647373,,0.123837,0.534667
19,10,2.000000,2032032855639653789,,0.124763,0.538667
20,10,2.000000,7228670512627652345,,0.124763,0.538667
21,10,2.000000,4632759219560893958,,0.124763,0.538667
22,10,2.000000,8634985996155453829,,0.123837,0.534667
23,10,2.000000,5238685447327365381,,0.124763,0.538667
24,10,2.000000,-5112783292783499793,,0.124763,0.538667
25,10,2.000000,8558643142744130008,,0.124763,0.538667
26,10,2.000000,-8353632230263879998,,0.124763,0.538667
27,10,2.000000,-4193303632596949779,,0.124763,0.538667
28,10,2.000000,1007458335645561706,,0.124763,0.538667
29,10,2.000000,-7073872138731293804,,0.123837,0.534667
