Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,1,1.0,976340229801220493,,0.005673656995116373,0.37333333333333335
1,1,5.0,-7910174600741877041,,7.181844297615798E-5,0.09333333333333334
2,100,1112.55,-986803214068069614,,NaN,0.0
3,1,2.0,-5185477647917593678,,0.01335823039356509,0.36
4,100,1114.18,1460570171212168923,,NaN,0.0
5,100,1106.87,-7550282398100885007,,NaN,0.0
6,100,1108.07,594727344823564867,,NaN,0.0
7,100,1106.37,6535692512511528692,,NaN,0.0
8,1,2.0,-8118647211626895026,,-0.027937374317724736,0.6933333333333334
9,100,1109.26,-5943115126710776622,,NaN,0.0
10,100,1108.86,7354758028696582856,,NaN,0.0
11,1,1.0,-1644366302335475432,,0.02614191324332096,0.9733333333333334
12,1,3.0,1434871719750048430,,0.004883654122378644,0.3466666666666667
13,2,2.5,-5914735472903460920,,0.03867423154266016,0.76
14,1,1.0,1469584125830491853,,0.009982763573685754,0.9733333333333334
15,1,1.0,-8204811084149069148,,0.05889112324044818,0.5333333333333333
16,100,1114.5,-159625262583219799,,NaN,0.0
17,100,1116.27,1986887483683313836,,NaN,0.0
18,1,1.0,-2008040158371412065,,-0.0014363688595231217,0.13333333333333333
19,1,3.0,-6867290789522542108,,-0.0036627405917839585,0.24
20,100,1115.27,-8988953479736964531,,NaN,0.0
21,1,2.0,-5466133510888592551,,0.00617638609594944,0.02666666666666667
22,100,1100.39,-3917271009425799631,,NaN,0.0
23,100,1119.75,305668928598953830,,NaN,0.0
24,1,1.0,4078504486488274576,,-7.900028727376925E-4,0.9733333333333334
25,100,1104.3,-5839132642987942349,,NaN,0.0
26,100,1109.4,7964399402310126488,,NaN,0.0
27,100,1110.65,303018294381507198,,NaN,0.0
28,1,4.0,-4175036774578788664,,0.08883941396150534,0.4533333333333333
29,100,1106.81,1047922224785075869,,NaN,0.0
