Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,7,1.8571428571428572,615701874688213321,-5007400276311477838,0.04510198218902616,0.7561904761904762
1,5,2.2,-731920045149869278,5846099771256469497,0.07321172076989373,0.744
2,5,1.4,1719911554806448974,3199580336204505392,0.045619074978454494,0.8853333333333333
3,4,1.5,-3392775679021497287,3037866708443872839,0.06930479747199082,0.8166666666666668
4,7,2.0,7801297046502405985,2157617775262633003,0.03368284975581731,0.7733333333333334
5,4,1.75,7698224372445293057,-5829656049355129221,0.0681916116058604,0.87
6,4,1.25,-2547339213636913147,-136227357419199939,0.05648520540074693,0.9066666666666666
7,4,1.25,-1438240251348758041,1501143513731812521,0.02623168629704111,0.84
8,4,2.25,-5486907429663553238,-9063102000978051779,0.04082878483194486,0.81
9,3,3.3333333333333335,-5617604998408386434,3000735113951518647,0.06772479172651538,0.68
10,3,1.3333333333333333,-2580105511230670875,-5671212118208216656,0.034975581729388125,0.7866666666666667
11,3,1.0,-2667486105195054517,-1203264200981239577,0.03660346643684768,0.9022222222222224
12,7,2.142857142857143,1464519540864713059,-1342975680896576898,0.022150859769360216,0.7866666666666667
13,4,1.5,4580329666722018780,7633583313609887924,0.06973570812984775,0.8766666666666667
14,4,2.0,1331434713066747163,2916073516075125736,0.05413315139327784,0.85
15,5,1.6,-98693687425287393,5845332684040383714,0.05097673082447575,0.8480000000000001
16,2,2.5,-272842751338084797,5872432995371219385,0.10097673082447574,0.7266666666666667
17,3,2.3333333333333335,8759335333482589168,4341468293307696080,0.060423250023939494,0.8577777777777778
18,5,1.6,-5841426530208530300,6080080566309485755,0.03792013789141053,0.8800000000000001
19,3,3.0,-6694363419484950029,-5229501694884957936,0.05956142870822561,0.7377777777777778
20,2,2.0,-3692554466320100368,-7956571393600875668,0.06029158287848317,0.8533333333333333
21,5,1.4,1261163605720919459,911775351054434105,0.047759264579143965,0.8666666666666668
22,2,1.5,-6180516448598987725,9104494604360268273,0.06108158575122092,0.88
23,6,2.6666666666666665,-3785757993379167573,-228674030129460485,0.04366561332950305,0.7466666666666666
24,5,1.8,2883228848343041800,-4442905035025656501,0.037905774202815316,0.8613333333333333
25,4,2.25,1370411077403006324,-3554851162527267981,0.04411447859810403,0.8300000000000001
26,2,2.0,5786220188709912047,-854675858762785336,0.0787130135018673,0.7933333333333333
27,5,1.6,-770718479953605122,1001687496713329599,0.03756104567652977,0.8133333333333332
28,5,2.2,-7590127605899249892,7283640968570584251,0.06203677104280381,0.8213333333333332
29,5,1.4,8594417731260363763,-4270354272277888555,0.03987359954036196,0.8186666666666668
