Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,10,4.400000,615701874688213321,,0.100984,0.436000
1,10,3.900000,-731920045149869278,,0.102219,0.441333
2,10,3.900000,1719911554806448974,,0.101602,0.438667
3,10,3.400000,-3392775679021497287,,0.096352,0.416000
4,10,4.000000,7801297046502405985,,0.104072,0.449333
5,10,4.400000,7698224372445293057,,0.103146,0.445333
6,10,3.800000,-2547339213636913147,,0.098205,0.424000
7,10,5.200000,-1438240251348758041,,0.109322,0.472000
8,10,3.300000,-5486907429663553238,,0.099131,0.428000
9,10,3.900000,-5617604998408386434,,0.100057,0.432000
10,10,3.200000,-2580105511230670875,,0.080293,0.346667
11,10,3.300000,-2667486105195054517,,0.095734,0.413333
12,10,4.000000,1464519540864713059,,0.102837,0.444000
13,10,3.300000,4580329666722018780,,0.098822,0.426667
14,10,3.600000,1331434713066747163,,0.096969,0.418667
15,10,3.800000,-98693687425287393,,0.100984,0.436000
16,10,3.400000,-272842751338084797,,0.099131,0.428000
17,10,3.100000,8759335333482589168,,0.099749,0.430667
18,10,4.400000,-5841426530208530300,,0.104690,0.452000
19,10,3.400000,-6694363419484950029,,0.090484,0.390667
20,10,4.100000,-3692554466320100368,,0.102837,0.444000
21,10,4.000000,1261163605720919459,,0.104381,0.450667
22,10,3.700000,-6180516448598987725,,0.105307,0.454667
23,10,3.500000,-3785757993379167573,,0.097278,0.420000
24,10,3.800000,2883228848343041800,,0.099440,0.429333
25,10,4.500000,1370411077403006324,,0.105307,0.454667
26,10,3.800000,5786220188709912047,,0.097896,0.422667
27,10,4.400000,-770718479953605122,,0.103146,0.445333
28,10,3.100000,-7590127605899249892,,0.097278,0.420000
29,10,4.700000,8594417731260363763,,0.104381,0.450667
