Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,10,3.200000,-6895219797396898833,6833853021077970648,0.080293,0.346667
1,10,3.500000,-2439865181434825251,-1160107574958418559,0.073499,0.317333
2,10,4.500000,4528284861330017334,6143449298173083340,0.085852,0.370667
3,10,524.800000,1013285973707035652,2645836815087893980,0.000000,0.000000
4,10,2.900000,-4729146553861747838,-7869315339443403973,0.094499,0.408000
5,10,840.400000,5562513768199387066,-7055230652331468534,0.000000,0.000000
6,10,4.200000,-8463131996988494541,1754853268653281259,0.087396,0.377333
7,10,2.400000,7477091039883941444,-6514839043725914429,0.040455,0.174667
8,10,3.600000,-790856875369815867,-6393550795756033397,0.051264,0.221333
9,10,552.900000,6020670674264688179,-2859141824270327618,0.000000,0.000000
10,10,2.700000,-4983436621260657530,86894984634672685,0.068249,0.294667
11,10,3.300000,-2406113371410203838,-6496777721688242878,0.065470,0.282667
12,10,573.300000,-7340705491214155889,-7369619079659548172,0.000000,0.000000
13,10,398.900000,1419118055872195425,2097316877486331644,0.000000,0.000000
14,10,3.100000,2646598452483731185,-6816046983789797620,0.063617,0.274667
15,10,2.800000,7011918472739402001,4288643670234197523,0.057828,0.252000
16,10,3.200000,-1077278908878826963,4418155890425065946,0.055587,0.240000
17,10,4.200000,350260433727389426,6309553669107463801,0.103146,0.445333
18,10,4.300000,-7287463681966361878,8104815271774048884,0.087396,0.377333
19,10,2.900000,-7642088361817229158,4449194421920290692,0.065161,0.281333
20,10,399.200000,-1247910409008020511,-1166743603966578605,0.000000,0.000000
21,10,5.300000,287572099374122151,-4830407280247439172,0.123219,0.532000
22,10,3.300000,-2629834617548713189,5179665704480943431,0.088940,0.384000
23,10,4.300000,4965133179233823767,2748223428821053430,0.134645,0.581333
24,10,626.400000,-1945569270191117474,7466522121704088490,0.000000,0.000000
25,10,395.900000,1454036945152318166,4861615713085818017,0.000000,0.000000
26,10,3.800000,5987428334314477796,-8127019799619380264,0.083690,0.361333
27,10,399.700000,-2783748683795294824,-8876020750232308641,0.000000,0.000000
28,10,4.600000,1181930832955655502,-7492331706439080738,0.089558,0.386667
29,10,544.700000,7002618409147988200,3632474682775057623,0.000000,0.000000
