Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,3,387.3333333333333,2312933556503922202,,NaN,0.0
1,3,405.6666666666667,1623746624195371394,,NaN,0.0
2,3,402.3333333333333,-300199885222706728,,NaN,0.0
3,3,394.0,9063969861145831604,,NaN,0.0
4,3,353.3333333333333,-7883181465040776146,,NaN,0.0
5,3,394.3333333333333,-1708826431225653022,,NaN,0.0
6,3,365.6666666666667,-3740374691696036127,,NaN,0.0
7,3,409.0,-8746758384182436901,,NaN,0.0
8,3,407.3333333333333,7159032622376190461,,NaN,0.0
9,3,410.3333333333333,6539035543309269594,,NaN,0.0
10,3,376.3333333333333,5181336176327918308,,NaN,0.0
11,3,404.6666666666667,8290769300737334066,,NaN,0.0
12,3,378.0,2232469074020348073,,NaN,0.0
13,3,378.3333333333333,-4300740649983311417,,NaN,0.0
14,3,371.0,6671740661224657310,,NaN,0.0
15,3,398.6666666666667,6212941679649914816,,NaN,0.0
16,3,399.3333333333333,-5744366105306978773,,NaN,0.0
17,3,410.3333333333333,8175914097437445626,,NaN,0.0
18,3,405.3333333333333,-2643185762346963743,,NaN,0.0
19,3,398.0,6644007860430012607,,NaN,0.0
20,3,392.6666666666667,8069379550636282830,,NaN,0.0
21,3,371.0,1631485365346339639,,NaN,0.0
22,3,410.3333333333333,-3297336317027570926,,NaN,0.0
23,3,390.0,-7135761183860324834,,NaN,0.0
24,3,380.3333333333333,1943110398027754674,,NaN,0.0
25,3,376.0,-2083284686637568585,,NaN,0.0
26,3,400.3333333333333,2235787899877813675,,NaN,0.0
27,3,379.6666666666667,-514998872219661569,,NaN,0.0
28,3,397.3333333333333,-2560420691191673782,,NaN,0.0
29,3,377.3333333333333,4613152192813202470,,NaN,0.0
