Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,10,2.000000,-848824146934103081,,0.171607,0.687611
1,10,2.000000,-6800460159562124750,,0.170944,0.684956
2,10,2.000000,6021178273115038252,,0.171607,0.687611
3,10,2.000000,7173382546674830192,,0.170061,0.681416
4,10,2.100000,-5566646820681360877,,0.166527,0.667257
5,10,2.000000,-802984674417843455,,0.171386,0.686726
6,10,2.000000,729374036688956726,,0.171607,0.687611
7,10,2.000000,-6645438448803013788,,0.170061,0.681416
8,10,2.000000,-5440192332906263051,,0.171607,0.687611
9,10,2.000000,7372731295878355850,,0.171607,0.687611
10,10,2.000000,7559723218559569512,,0.170282,0.682301
11,10,2.100000,-2041798777798492300,,0.172490,0.691150
12,10,2.000000,8293878783455820708,,0.171607,0.687611
13,10,2.000000,748085726950485786,,0.171607,0.687611
14,10,2.000000,7052836122627795262,,0.170944,0.684956
15,10,2.000000,-6101070834089967730,,0.171607,0.687611
16,10,2.000000,26467550493372684,,0.171607,0.687611
17,10,2.000000,-1646561087397723551,,0.170503,0.683186
18,10,2.000000,-2817946956669719758,,0.170944,0.684956
19,10,2.000000,-1456660832465803451,,0.170503,0.683186
20,10,2.000000,6534098222959338076,,0.171607,0.687611
21,10,2.000000,8513711055398015987,,0.170061,0.681416
22,10,2.000000,-4606180441082329016,,0.171607,0.687611
23,10,2.100000,3804064954738234959,,0.172049,0.689381
24,10,2.100000,1073869873656737415,,0.172049,0.689381
25,10,2.000000,-3555603647260437303,,0.171607,0.687611
26,10,2.000000,-6852159932610050173,,0.169178,0.677876
27,10,2.000000,-8065512595186474747,,0.170503,0.683186
28,10,2.000000,335668764404659139,,0.170944,0.684956
29,10,2.100000,-8440963628104396611,,0.171386,0.686726
