Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,2,1.5,-9135264219944816664,-4170839310752060423,0.15600246342033175,0.7212389380530974
1,1,1.0,-6970019261555608491,6637456053905217604,0.13714455605343076,0.7610619469026548
2,1,1.0,7495156895743000370,9084115387020215246,0.19244409522393768,0.8672566371681416
3,1,1.0,-94727898626380715,8669768672924734380,0.21548556987831555,0.911504424778761
4,1,1.0,6565892200155805630,-9210950363997588286,0.15557773577693307,0.7964601769911505
5,1,1.0,3792778121158126172,-3246744019131237220,0.14396143472997946,0.7787610619469026
6,1,1.0,-7506666309343057371,-2305117862314156222,0.15096944084605748,0.7876106194690266
7,2,1.5,3067036520714312206,5037498403538105886,0.1418908874684109,0.7079646017699115
8,2,1.5,-3213644572916114006,330243034697697080,0.14789016543141711,0.7079646017699115
9,1,1.0,2962477786232483183,-3108792280960384693,0.19244409522393768,0.8672566371681416
10,1,1.0,-6929572361441950729,3641664059603011711,0.17401091550043535,0.831858407079646
11,1,1.0,-894554622491502150,-8634640002312353574,0.15557773577693307,0.7964601769911505
12,1,1.0,-538634307763031028,49364456508792467,0.20386926883136192,0.8938053097345132
13,1,1.0,-2352583203455464080,8601756815635976697,0.20386926883136192,0.8938053097345132
14,1,1.0,-1369694665701121932,-5541302319843740792,0.15096944084605748,0.7876106194690266
15,1,1.0,-2302328934571035725,-2767791427692665249,0.12792796619167962,0.7433628318584071
16,2,1.5,-8446782676469220167,2155249111247825469,0.11231922529677847,0.6327433628318584
17,1,1.0,-7962210810938550060,-5858784277170484319,0.20386926883136192,0.8938053097345132
18,1,1.0,5495097992742323737,-1552437205734615087,0.17401091550043535,0.831858407079646
19,1,1.0,-6704501622894099415,-282212094750319675,0.17401091550043535,0.831858407079646
20,1,1.0,8904522683295081337,-1147904368870678444,0.15557773577693307,0.7964601769911505
21,2,1.5,3662418549294816036,-8146400223033437420,0.15360275223512926,0.7212389380530972
22,1,1.0,-5185767791853367143,1271391017347246785,0.16018603070780862,0.8053097345132744
23,1,1.0,5828207581162496416,-9099525616580303052,0.20386926883136192,0.8938053097345132
24,2,1.5,8451254970367903880,-8468873502983921620,0.1827921595277029,0.8141592920353982
25,1,1.0,930648673765337982,5580851015306820469,0.16940262056955982,0.8230088495575221
26,1,1.0,3920637226472465242,6630425906011564599,0.13714455605343076,0.7610619469026548
27,1,1.0,-2041146224183405712,5195455518393239146,0.21548556987831555,0.911504424778761
28,1,1.0,1171952081736817433,4282702473584714954,0.21548556987831555,0.911504424778761
29,2,1.0,-7383726107964093676,638802095983606972,0.15096944084605748,0.7876106194690266
