Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,3,1.6666666666666667,4357829094847460194,-3210600379278361667,0.029893747301209778,0.4306784660766961
1,3,2.0,5516181237876660710,4827990684190659596,0.08688511825125472,0.4955752212389381
2,3,1.6666666666666667,-4031314496734744364,4327433481985827895,0.10154530074256551,0.5575221238938053
3,3,2.0,8959970654835835282,4367225136546581255,0.0657619967862275,0.4365781710914454
4,3,2.0,-2661287289439107155,9046677772518423255,0.11648863499614205,0.5693215339233039
5,3,1.6666666666666667,1159523101284819932,-7908958083271603143,0.027975394111859116,0.44542772861356933
6,3,1.6666666666666667,6670945609416912068,-5425210667482774065,-0.02117975181748036,0.35103244837758113
7,3,1.6666666666666667,-4122614407145035126,86986340959554534,0.05488896911522154,0.4955752212389381
8,3,1.6666666666666667,-6044811859908316477,3758891560439451355,-0.040894193265235315,0.3008849557522124
9,3,1.6666666666666667,7001725640411585609,5661033613827796310,0.071786050528432,0.528023598820059
10,3,2.3333333333333335,-1700739888433631511,8213414888722589643,0.09040327889740706,0.4808259587020649
11,3,1.6666666666666667,2427429775464536343,8374972381569549563,0.11406060863471301,0.6076696165191741
12,3,2.0,9178379743920317962,-4522441832505248961,0.09014844231136786,0.4926253687315634
13,3,2.3333333333333335,7999397004433864933,-3273666817163421479,0.050528431976328524,0.4011799410029499
14,3,1.6666666666666667,8078511059438339547,7913936994070099377,0.022085837456730886,0.4218289085545723
15,3,2.0,-8518841945953275785,-1774795687654489310,0.10045516645784225,0.5339233038348082
16,3,2.0,-8475379806200697236,7507382498209428153,0.04044822923966674,0.3864306784660767
17,3,2.0,7501792551306109071,-3824744509396018400,0.04041283526938352,0.35103244837758113
18,3,2.0,7716343785971470324,7841240775633771147,0.11648863499614205,0.5693215339233039
19,3,2.0,7339507497671603017,4840285925513742423,0.11648863499614205,0.5693215339233039
20,3,1.6666666666666667,3005304196960280788,6219258197786495939,0.022085837456730897,0.4218289085545723
21,3,1.6666666666666667,4782130383769119688,-2711577608914492438,0.09434616718695804,0.5575221238938053
22,3,2.0,-6428938404581625898,-9175507654823744156,0.08307672704877998,0.4867256637168142
23,3,2.0,-8959364547529831406,424734069071629373,0.10765430001344971,0.5339233038348082
24,3,1.6666666666666667,5141059719838914229,1728015794239644958,0.0019254319834073191,0.392330383480826
25,3,2.0,-6479274561368607432,-991115509214425381,0.09469302809573364,0.504424778761062
26,3,2.0,1334775086468059361,3715264945759628751,0.02377766923626892,0.3805309734513274
27,3,1.6666666666666667,-3606722459112462918,1548966928496905370,0.09556371976470089,0.575221238938053
28,3,2.0,-7047456612054664574,7427446477655953995,0.09113947347929807,0.4837758112094395
29,3,2.0,166882554411530792,-3930003979754587139,-0.007680491551459286,0.3185840707964602
