Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,1,9.0,3474978941519596138,,0.002208583745673087,0.008849557522123894
1,2,1.5,991636898555423124,,-0.05003291639236338,0.2610619469026549
2,1,7.0,-5414766030086327640,,0.002208583745673087,0.008849557522123894
3,1,4.0,6930887194672779829,,-0.0025908386247318906,0.008849557522123894
4,1,3.0,-8256430099923060231,,0.06549300261207501,0.3008849557522124
5,1,5.0,-6024625572839028530,,-3.822548790588029E-4,0.017699115044247787
6,1,1.0,-2359855207081587903,,0.091061606744675,0.672566371681416
7,100,354.0,-6268798972068718063,,NaN,0.0
8,1,1.0,-4621698164188052490,,0.11410308139905288,0.7168141592920354
9,1,1.0,4063044638576489049,,0.091061606744675,0.672566371681416
10,1,1.0,7411288001878369506,,0.08645331181379941,0.6637168141592921
11,1,3.0,-8236232657681136113,,0.03918112510352737,0.18584070796460178
12,5,4.2,-5256175309773075673,,-0.015825351993034458,0.13274336283185842
13,1,2.0,-2551648714084459442,,0.08662320287115889,0.4336283185840708
14,2,3.5,6289942974578013572,,-0.005415277453333047,0.08407079646017698
15,1,2.0,1177980056998436810,,0.06491962029348682,0.3274336283185841
16,1,5.0,3888796679377017302,,0.015077831340652811,0.07964601769911504
17,1,3.0,5689868424050448877,,0.048397714965278525,0.20353982300884957
18,1,4.0,-4470339072746074400,,0.032746501306037505,0.1504424778761062
19,1,4.0,7676154367508921410,,0.013251502474038524,0.05309734513274336
20,2,1.5,5757608619073687118,,0.03588948586718767,0.3938053097345132
21,1,2.0,5424031222411598870,,0.06952791522436239,0.336283185840708
22,1,7.0,-3267487237892549898,,0.002208583745673087,0.008849557522123894
23,2,5.0,3831133625097159772,,-0.00992800866444392,0.07079646017699115
24,1,8.0,1828248098233620321,,0.002208583745673087,0.008849557522123894
25,1,3.0,3528911419354661329,,-0.020917836437384523,0.07964601769911504
26,1,3.0,6525010278778239114,,-0.04971437065981439,0.07964601769911504
27,1,4.0,-2232975659003097760,,0.033128756185096316,0.13274336283185842
28,1,7.0,-5545630212601462555,,-1.9112743952940146E-4,0.008849557522123894
29,1,2.0,7562680022696933575,,0.07683323069081953,0.4424778761061947
