Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,3,52.666666666666664,-764607245599853704,,NaN,0.0
1,3,64.33333333333333,5111453366768774048,,NaN,0.0
2,3,44.333333333333336,3359259998313017475,,NaN,0.0
3,3,52.666666666666664,-5928949112178889842,,NaN,0.0
4,3,57.0,4675238974331144465,,NaN,0.0
5,3,58.666666666666664,3859345984534479686,,NaN,0.0
6,3,59.333333333333336,6184398762136254953,,NaN,0.0
7,3,59.666666666666664,-887804515442511457,,NaN,0.0
8,3,64.66666666666667,-8415111773519823936,,NaN,0.0
9,3,54.666666666666664,-2084720021552083391,,NaN,0.0
10,3,60.0,3600937033234615502,,NaN,0.0
11,3,65.0,-6225320481379975337,,NaN,0.0
12,3,50.0,4011777075179716510,,NaN,0.0
13,3,51.666666666666664,7534942132541200003,,NaN,0.0
14,3,62.333333333333336,-6217076217428057307,,NaN,0.0
15,3,54.0,-2448649402569979630,,NaN,0.0
16,3,59.0,5662933621815334934,,NaN,0.0
17,3,57.0,8541011368592357232,,NaN,0.0
18,3,62.333333333333336,-4515436528458586252,,NaN,0.0
19,3,57.333333333333336,-8382441172151748642,,NaN,0.0
20,3,55.333333333333336,-8085045675946283416,,NaN,0.0
21,3,57.333333333333336,-7502113040355977119,,NaN,0.0
22,3,55.333333333333336,-4960140514305592492,,NaN,0.0
23,3,58.0,-3154011089323734019,,NaN,0.0
24,3,53.0,-1228634843133855705,,NaN,0.0
25,3,65.0,8344551748097881891,,NaN,0.0
26,3,54.666666666666664,8799807429452078578,,NaN,0.0
27,3,57.666666666666664,8967048287257792359,,NaN,0.0
28,3,51.666666666666664,-2049716329279935045,,NaN,0.0
29,3,46.0,5751975750497927797,,NaN,0.0
