Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,10,3.700000,976340229801220493,-6645195634224055921,0.235877,0.945133
1,10,4.000000,-7910174600741877041,-1826543674551077437,0.185300,0.742478
2,10,3.000000,-986803214068069614,3070473492586687027,0.222184,0.890265
3,10,3.500000,-5185477647917593678,-1111305404913339007,0.235656,0.944248
4,10,4.600000,1460570171212168923,2953302459731026676,0.227484,0.911504
5,10,4.200000,-7550282398100885007,5590341096169128848,0.239852,0.961062
6,10,3.400000,594727344823564867,2676569070171238257,0.187893,0.755752
7,10,2.500000,6535692512511528692,4195411412337972173,0.126533,0.507965
8,10,3.900000,-8118647211626895026,3529749271225437257,0.184638,0.739823
9,10,2.900000,-5943115126710776622,-4309080738527851900,0.169158,0.678761
10,10,4.100000,7354758028696582856,4955385334122564868,0.237864,0.953097
11,10,3.400000,-1644366302335475432,6295609208121257712,0.204016,0.820354
12,10,4.600000,1434871719750048430,2828176623216163892,0.238085,0.953982
13,10,3.800000,-5914735472903460920,-9034512706359606782,0.235214,0.942478
14,10,4.000000,1469584125830491853,-5741639504451708457,0.232785,0.932743
15,10,4.400000,-8204811084149069148,365736598790012257,0.234993,0.941593
16,10,3.600000,-159625262583219799,8985087791877823487,0.137374,0.550442
17,10,3.700000,1986887483683313836,-8665280936538865998,0.235656,0.944248
18,10,47.300000,-2008040158371412065,-1417401272712686156,0.000000,0.000000
19,10,3.600000,-6867290789522542108,5224382229132059417,0.212687,0.852212
20,10,4.300000,-8988953479736964531,-5920247411456120807,0.236318,0.946903
21,10,2.400000,-5466133510888592551,-6465813851430267138,0.088526,0.356637
22,10,3.400000,-3917271009425799631,-4175977774407147060,0.124343,0.498230
23,10,4.400000,305668928598953830,-4255621452356395501,0.226159,0.906195
24,10,3.100000,4078504486488274576,5150878816852799634,0.172490,0.691150
25,10,3.300000,-5839132642987942349,509419133980743574,0.197889,0.792920
26,10,3.900000,7964399402310126488,1241527279684733236,0.231239,0.926549
27,10,3.200000,303018294381507198,-7148707451629714733,0.205398,0.823009
28,10,4.100000,-4175036774578788664,7657754789486963107,0.229472,0.919469
29,10,4.700000,1047922224785075869,-1121716226742253588,0.231460,0.927434
