Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,3,196.66666666666666,-7043758742217982857,,NaN,0.0
1,3,179.66666666666666,8707954276765923475,,NaN,0.0
2,3,195.66666666666666,4662079647706855674,,NaN,0.0
3,3,179.0,-4802810422631167565,,NaN,0.0
4,3,189.0,3996895840604163169,,NaN,0.0
5,3,195.33333333333334,7248772592320880373,,NaN,0.0
6,3,188.66666666666666,-583284472280717930,,NaN,0.0
7,3,179.0,5450613601987745598,,NaN,0.0
8,3,197.0,2465215686545525737,,NaN,0.0
9,3,194.33333333333334,-5925965430943097785,,NaN,0.0
10,3,196.0,4073465034293261895,,NaN,0.0
11,3,182.66666666666666,5500982552707870460,,NaN,0.0
12,3,190.33333333333334,-8087152709295267412,,NaN,0.0
13,3,194.66666666666666,2463345219707692294,,NaN,0.0
14,3,198.0,-1573151565400991018,,NaN,0.0
15,3,186.0,6575360535712148390,,NaN,0.0
16,3,190.0,8545452842038112058,,NaN,0.0
17,3,185.0,4559753183287092164,,NaN,0.0
18,3,186.0,-7717894359530931909,,NaN,0.0
19,3,201.0,-340603513212638393,,NaN,0.0
20,3,201.0,7203957500691921817,,NaN,0.0
21,3,181.66666666666666,-7368748405856802905,,NaN,0.0
22,3,173.0,7591611675976974375,,NaN,0.0
23,3,184.66666666666666,-8780158238612052545,,NaN,0.0
24,3,195.0,-9186212156855358016,,NaN,0.0
25,3,182.0,1412406304787882727,,NaN,0.0
26,3,173.33333333333334,2476015689387133307,,NaN,0.0
27,3,177.0,3685151638898250562,,NaN,0.0
28,3,189.33333333333334,3374496202386331421,,NaN,0.0
29,3,193.33333333333334,-4440044104520074924,,NaN,0.0
