Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,2,8.5,-7043758742217982857,-1403849922141877041,0.07417868291957781,0.7876106194690266
1,100,105.28,8707954276765923475,3494007887878791894,NaN,0.0
2,1,7.0,4662079647706855674,7508633387557572112,0.022085837456730872,0.08849557522123894
3,1,11.0,-4802810422631167565,2110582207879962317,0.002208583745673087,0.008849557522123894
4,100,107.23,3996895840604163169,-4558074103550828052,NaN,0.0
5,1,15.0,7248772592320880373,-6497413403819409192,0.07029242498247999,0.3008849557522124
6,2,4.5,-583284472280717930,-63629750025840530,9.237826243921133E-4,0.12389380530973451
7,2,5.5,5450613601987745598,5317663865973900746,0.057911614177408755,0.8185840707964602
8,100,106.2,2465215686545525737,-6431331078986689710,NaN,0.0
9,1,2.0,-5925965430943097785,6335592021948362104,0.006434623797489862,0.035398230088495575
10,100,101.97,4073465034293261895,4313741267396126206,NaN,0.0
11,2,4.0,5500982552707870460,2526214733742792147,0.045944912824651185,0.6504424778761062
12,2,5.5,-8087152709295267412,2648742619017773235,-0.007698188536600891,0.30088495575221236
13,100,106.89,2463345219707692294,-8046758488844639432,NaN,0.0
14,2,2.5,-1573151565400991018,-2616708676771079425,-0.0068062604854636916,0.09292035398230089
15,1,2.0,6575360535712148390,-1805582480024280570,0.21529444243878615,0.9203539823008849
16,1,8.0,8545452842038112058,-5035950286776692362,0.015268958780182208,0.07079646017699115
17,100,106.99,4559753183287092164,-2456035611707470479,NaN,0.0
18,100,102.57,-7717894359530931909,6277288492815411873,NaN,0.0
19,2,3.0,-340603513212638393,5309663397769344917,-0.003546475822378898,0.05309734513274336
20,1,3.0,7203957500691921817,-6738524278293317835,-0.01314532056318885,0.05309734513274336
21,2,7.5,-7368748405856802905,4420578218855567053,0.023572384208626233,0.5752212389380531
22,100,107.19,7591611675976974375,8683199086055408007,NaN,0.0
23,3,4.0,-8780158238612052545,1111228063567223878,0.09779353989254395,0.8053097345132744
24,2,3.5,-9186212156855358016,5178310774042738751,-0.08715411242540722,0.035398230088495575
25,2,6.5,1412406304787882727,4244944510404761550,0.1006816878676549,0.8938053097345133
26,100,106.51,2476015689387133307,-5195625406954602421,NaN,0.0
27,1,3.0,3685151638898250562,3537160750040737009,0.004417167491346174,0.017699115044247787
28,7,9.285714285714286,3374496202386331421,-5074875818431890921,-0.006798676063260149,0.029077117572692796
29,100,106.42,-4440044104520074924,-6245763461864010426,NaN,0.0
