Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,3,3.0,2312933556503922202,6963837467373399994,0.14566742409763075,0.8849557522123894
1,3,3.3333333333333335,1623746624195371394,1096390368290377786,0.1443224532268683,0.8731563421828908
2,3,2.6666666666666665,-300199885222706728,-1421910343069455138,0.1390416728606115,0.8584070796460178
3,3,3.0,9063969861145831604,-8944237770591983067,0.10150990677228229,0.855457227138643
4,3,2.6666666666666665,-7883181465040776146,-6606985907269639071,0.1390416728606115,0.8584070796460178
5,3,3.0,-1708826431225653022,2316138845754793689,0.14566742409763075,0.8849557522123894
6,3,3.3333333333333335,-3740374691696036127,-7284610565147759094,0.1390416728606115,0.8584070796460176
7,3,3.0,-8746758384182436901,7318388547816604361,0.14566742409763075,0.8849557522123894
8,3,3.0,7159032622376190461,-1732094845756218028,0.14566742409763075,0.8849557522123894
9,3,3.3333333333333335,6539035543309269594,3616596849964882586,0.13628802197257675,0.8377581120943952
10,3,3.0,5181336176327918308,601809425840712509,0.14566742409763075,0.8849557522123894
11,3,3.3333333333333335,8290769300737334066,-4039716585862569190,0.09815455838943281,0.8997050147492626
12,3,3.0,2232469074020348073,-3266542974551674530,0.14566742409763075,0.8849557522123894
13,3,3.0,-4300740649983311417,2704554310021489776,0.14566742409763075,0.8849557522123894
14,3,3.6666666666666665,6671740661224657310,3152364403969286715,0.1397778674425025,0.8613569321533924
15,3,3.0,6212941679649914816,-8510761112334383979,0.1339520199338841,0.8348082595870207
16,3,3.0,-5744366105306978773,-3330031700413498660,0.14566742409763075,0.8849557522123894
17,3,3.0,8175914097437445626,8508625769853275394,0.14566742409763075,0.8849557522123894
18,3,3.0,-2643185762346963743,4980229899357874588,0.09482752518280989,0.9056047197640118
19,3,3.0,6644007860430012607,7191604278756956075,0.10813565800930158,0.8820058997050148
20,3,3.6666666666666665,8069379550636282830,2297188352429819456,0.10592707426362848,0.8731563421828908
21,3,3.0,1631485365346339639,5647604671404627755,0.14566742409763075,0.8849557522123894
22,3,2.3333333333333335,-3297336317027570926,5486958035457062730,0.10150990677228229,0.855457227138643
23,3,4.0,-7135761183860324834,9172839178612780608,0.09062980030721968,0.8407079646017698
24,3,3.0,1943110398027754674,1773753092532099215,0.14566742409763075,0.8849557522123894
25,3,3.0,-2083284686637568585,3844324058794707576,0.14566742409763075,0.8849557522123894
26,3,3.0,2235787899877813675,8177435076290705159,0.14566742409763075,0.8849557522123894
27,3,3.0,-514998872219661569,7094231686076741164,0.13475192366228492,0.8348082595870207
28,3,3.3333333333333335,-2560420691191673782,-6687874027242539548,0.09348255431204743,0.8938053097345132
29,3,3.0,4613152192813202470,1243376379742508461,0.11127156377639508,0.8849557522123894
