Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,1,4.0,3394053878439304766,,0.045191021257618556,0.7964601769911505
1,2,1.5,8031753614496833124,,0.03386141136995905,0.7654867256637168
2,1,2.0,5749707386842579805,,0.10851791288836034,0.5309734513274337
3,2,3.0,-7108450670121493499,,-0.11123616980611181,0.1504424778761062
4,1,3.0,4226493937843085135,,0.0042260400518167734,0.02654867256637168
5,100,355.16,-8718212088944526529,,NaN,0.0
6,1,6.0,8613096305672968387,,0.004417167491346174,0.017699115044247787
7,1,6.0,-1991451534383343133,,0.002208583745673087,0.008849557522123894
8,1,6.0,2798483654236051920,,0.002208583745673087,0.008849557522123894
9,100,352.6,8909983974411608792,,NaN,0.0
10,2,4.0,4286777641714463834,,0.008048588842404827,0.34955752212389385
11,3,3.0,-7431114949873425636,,-0.006554963296452813,0.04424778761061946
12,1,1.0,5999427699553298618,,0.1423262333028945,0.7433628318584071
13,100,352.5,-3803985480541803767,,NaN,0.0
14,100,349.6,3151921647258940062,,NaN,0.0
15,100,356.82,1223193723853012953,,NaN,0.0
16,1,1.0,2637859300016226348,,0.15377264329248871,0.9911504424778761
17,100,350.0,1336982290880962924,,NaN,0.0
18,100,353.44,-5442790682629687443,,NaN,0.0
19,1,3.0,1028980390827288648,,0.002208583745673087,0.008849557522123894
20,3,5.333333333333333,6939512748233928168,,-0.004218961257760129,0.0471976401179941
21,1,3.0,2850581160160542688,,0.049841788952834004,0.24778761061946902
22,1,1.0,-3684115661748767091,,0.1369321922317314,0.5486725663716814
23,100,347.29,-8938752901239521000,,NaN,0.0
24,1,2.0,4687652294793308629,,0.18957718363099663,1.0
25,1,1.0,-1251935215777009400,,-0.0022085837456730815,0.9911504424778761
26,1,1.0,3993438426385288230,,0.12055894157871265,0.9734513274336283
27,100,350.97,2234823566502373376,,NaN,0.0
28,100,352.6,-1229260075000547717,,NaN,0.0
29,1,6.0,-8106860695108836149,,0.013251502474038524,0.05309734513274336
