Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,10,3.800000,-2091781416315349196,,0.235656,0.944248
1,10,2.900000,-8521239748196121270,,0.181766,0.728319
2,10,3.000000,-7566401908741690337,,0.189938,0.761062
3,10,3.200000,-89773468390580512,,0.237202,0.950442
4,10,2.700000,-8256524777413992071,,0.186328,0.750442
5,10,3.200000,3328494796473223585,,0.201202,0.806195
6,10,2.800000,2612882295546988440,,0.159239,0.638053
7,10,3.100000,-5163372958789919374,,0.226380,0.907080
8,10,2.800000,3385433343347530987,,0.204957,0.821239
9,10,3.200000,-3847339608244300013,,0.232324,0.931858
10,10,2.900000,-4101125305519763887,,0.201865,0.808850
11,10,2.500000,819175930059211411,,0.185723,0.745133
12,10,3.100000,217785903735433383,,0.177772,0.713274
13,10,2.800000,4042834825420675334,,0.182650,0.731858
14,10,2.800000,3616132071585107875,,0.181546,0.727434
15,10,3.200000,1590451393687422326,,0.223288,0.894690
16,10,3.500000,5363121094897192416,,0.196785,0.788496
17,10,3.100000,7895803878238913815,,0.196785,0.788496
18,10,2.800000,-3647089645581086152,,0.205600,0.824779
19,10,2.500000,-4442192648761502019,,0.150405,0.602655
20,10,2.500000,-5767197059687895463,,0.183293,0.735398
21,10,3.600000,4681259504429559186,,0.236318,0.946903
22,10,2.800000,9171473416695245458,,0.159901,0.640708
23,10,2.700000,1581655030637107971,,0.184820,0.742478
24,10,2.900000,-4468010979168714002,,0.168294,0.674336
25,10,3.100000,-4063388110868880390,,0.203190,0.814159
26,10,3.000000,3878992242685108611,,0.184417,0.738938
27,10,2.500000,-6092926502412241582,,0.191484,0.767257
28,10,2.800000,3844331254771067403,,0.212687,0.852212
29,10,3.200000,-6615776650209891449,,0.196545,0.788496
