Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,1,1.0,-9135264219944816664,,0.014774659863945567,0.5045045045045045
1,1,1.0,-6970019261555608491,,0.05654761904761907,0.5855855855855856
2,5,5.2,7495156895743000370,,-0.0014668367346938767,0.15135135135135136
3,1,2.0,-94727898626380715,,0.027210884353741503,0.27927927927927926
4,1,2.0,6565892200155805630,,0.0232780612244898,0.27927927927927926
5,2,7.5,3792778121158126172,,0.0020195578231292518,0.009009009009009009
6,3,3.0,-7506666309343057371,,0.0054563492063492034,0.14714714714714713
7,3,2.6666666666666665,3067036520714312206,,0.005137471655328797,0.20420420420420418
8,1,1.0,-3213644572916114006,,0.014880952380952384,0.5225225225225225
9,1,2.0,2962477786232483183,,0.023596938775510206,0.3333333333333333
10,2,2.5,-6929572361441950729,,0.0026573129251700658,0.28378378378378377
11,1,3.0,-894554622491502150,,0.006909013605442183,0.17117117117117117
12,1,1.0,-538634307763031028,,0.0267857142857143,0.5405405405405406
13,2,3.0,-2352583203455464080,,-0.002444727891156457,0.25225225225225223
14,1,2.0,-1369694665701121932,,0.027104591836734693,0.26126126126126126
15,2,3.5,-2302328934571035725,,0.0017538265306122468,0.13063063063063063
16,4,4.5,-8446782676469220167,,-0.00510204081632653,0.0518018018018018
17,1,1.0,-7962210810938550060,,0.03869047619047622,0.5585585585585585
18,100,216.72,5495097992742323737,,NaN,0.0
19,3,6.333333333333333,-6704501622894099415,,-0.005775226757369615,0.021021021021021023
20,1,1.0,8904522683295081337,,0.0267857142857143,0.5405405405405406
21,1,1.0,3662418549294816036,,0.014880952380952384,0.5225225225225225
22,1,1.0,-5185767791853367143,,0.020833333333333315,0.5315315315315315
23,4,5.25,5828207581162496416,,0.0019398384353741538,0.07882882882882881
24,1,2.0,8451254970367903880,,0.015731292517006817,0.3333333333333333
25,1,1.0,930648673765337982,,0.04464285714285715,0.5675675675675675
26,2,4.0,3920637226472465242,,-0.0040391156462584975,0.14864864864864863
27,1,1.0,-2041146224183405712,,0.028805272108843545,0.5495495495495496
28,1,9.0,1171952081736817433,,0.0020195578231292518,0.009009009009009009
29,3,2.3333333333333335,-7383726107964093676,,-0.01232993197278911,0.24324324324324323
