Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,3,619.3333333333334,-7240348996590834719,,NaN,0.0
1,3,608.0,-5311242831059256485,,NaN,0.0
2,3,667.6666666666666,7133267839299909563,,NaN,0.0
3,3,644.0,-4879770653013578426,,NaN,0.0
4,3,634.3333333333334,-7978032600194138122,,NaN,0.0
5,3,644.3333333333334,-1706805836430481502,,NaN,0.0
6,3,636.3333333333334,5597175164159858910,,NaN,0.0
7,3,664.3333333333334,2308274237443303783,,NaN,0.0
8,3,628.6666666666666,5796021815880667158,,NaN,0.0
9,3,650.6666666666666,-7872638020691053655,,NaN,0.0
10,3,693.0,5196582072723136751,,NaN,0.0
11,3,641.3333333333334,5181566153864349709,,NaN,0.0
12,3,638.3333333333334,-911983138636948996,,NaN,0.0
13,3,621.6666666666666,-9160245594678502793,,NaN,0.0
14,3,663.6666666666666,6924204159067555813,,NaN,0.0
15,3,662.6666666666666,8365669357447244296,,NaN,0.0
16,3,674.0,3419465013329475963,,NaN,0.0
17,3,654.3333333333334,-434629981971614393,,NaN,0.0
18,3,651.3333333333334,8854165114489647373,,NaN,0.0
19,3,652.0,2032032855639653789,,NaN,0.0
20,3,627.3333333333334,7228670512627652345,,NaN,0.0
21,3,610.3333333333334,4632759219560893958,,NaN,0.0
22,3,646.6666666666666,8634985996155453829,,NaN,0.0
23,3,600.6666666666666,5238685447327365381,,NaN,0.0
24,3,600.6666666666666,-5112783292783499793,,NaN,0.0
25,3,608.6666666666666,8558643142744130008,,NaN,0.0
26,3,663.3333333333334,-8353632230263879998,,NaN,0.0
27,3,663.6666666666666,-4193303632596949779,,NaN,0.0
28,3,615.3333333333334,1007458335645561706,,NaN,0.0
29,3,639.0,-7073872138731293804,,NaN,0.0
