Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,10,3.400000,-431687840736368495,,0.047056,0.209910
1,10,3.500000,-4217214785401613326,,0.048873,0.218018
2,10,3.200000,4719984949727971368,,0.046046,0.205405
3,10,3.200000,-37738182846372392,,0.048469,0.216216
4,10,3.000000,-7581346102043770702,,0.044834,0.200000
5,10,3.000000,8201918440108405914,,0.048267,0.215315
6,10,3.100000,-4235197539150920809,,0.048065,0.214414
7,10,3.400000,8550769173833875090,,0.048065,0.214414
8,10,3.200000,8831275599891947047,,0.051095,0.227928
9,10,3.000000,1813991093555504661,,0.046854,0.209009
10,10,3.400000,8877039495818675475,,0.048267,0.215315
11,10,3.300000,7458296124606770188,,0.047258,0.210811
12,10,3.000000,4450666840951694110,,0.047056,0.209910
13,10,3.100000,2755557405874651075,,0.048065,0.214414
14,10,3.500000,5619561175235305235,,0.046450,0.207207
15,10,3.400000,-7028237669830264831,,0.047056,0.209910
16,10,3.500000,2576879553012763897,,0.046652,0.208108
17,10,3.100000,-2942635254356194985,,0.048469,0.216216
18,10,3.300000,5786859084948307589,,0.048671,0.217117
19,10,3.400000,-2758416753212600899,,0.046046,0.205405
20,10,3.400000,4024271205979940559,,0.047460,0.211712
21,10,3.100000,4165336601527464282,,0.048065,0.214414
22,10,3.200000,9180961204476577096,,0.045036,0.200901
23,10,3.100000,8184737830447503522,,0.049075,0.218919
24,10,3.400000,-2021727724340311061,,0.049681,0.221622
25,10,3.200000,6179611165656159142,,0.046450,0.207207
26,10,3.000000,2172688933844939955,,0.046248,0.206306
27,10,3.200000,-1149764589101141338,,0.044834,0.200000
28,10,3.300000,-8218355022469219764,,0.048065,0.214414
29,10,3.100000,1469930637003476971,,0.048873,0.218018
