Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,3,2.6666666666666665,3474978941519596138,-47632694438125662,0.008857709750566899,0.27927927927927926
1,3,5.666666666666667,991636898555423124,-8862567610656013959,-0.008538832199546485,0.1081081081081081
2,3,28.333333333333332,-5414766030086327640,-4748511106033463246,NaN,0.015015015015015015
3,3,4.666666666666667,6930887194672779829,7139009018505309638,-0.004676870748299327,0.2072072072072072
4,3,4.333333333333333,-8256430099923060231,8746318455353325065,0.019309807256235833,0.16216216216216217
5,3,4.333333333333333,-6024625572839028530,-6402278405251868616,-0.007830215419501133,0.11711711711711713
6,3,5.333333333333333,-2359855207081587903,1924569645805564070,-0.007936507936507938,0.0990990990990991
7,3,23.333333333333332,-6268798972068718063,5666737837205097792,NaN,0.042042042042042045
8,3,6.333333333333333,-4621698164188052490,-1065418455797879856,0.004109977324263037,0.03003003003003003
9,3,4.666666666666667,4063044638576489049,-1472033150402519278,0.0022321428571428583,0.04504504504504505
10,3,6.333333333333333,7411288001878369506,-8483329623621881823,1.0629251700680327E-4,0.018018018018018018
11,3,3.0,-8236232657681136113,3188276407639069644,-0.0029761904761904765,0.2732732732732733
12,3,5.333333333333333,-5256175309773075673,-7362168482330216504,-0.0053500566893424075,0.0930930930930931
13,3,4.666666666666667,-2551648714084459442,-8869738125396209187,0.0077593537414965994,0.20420420420420424
14,3,24.333333333333332,6289942974578013572,8124337983406361481,NaN,0.13513513513513511
15,3,3.6666666666666665,1177980056998436810,8835315421037325988,-0.008432539682539682,0.12612612612612611
16,3,30.666666666666668,3888796679377017302,1905091301043219464,NaN,0.10210210210210209
17,3,3.3333333333333335,5689868424050448877,-2864223538246843561,0.0019132653061224544,0.2132132132132132
18,3,3.0,-4470339072746074400,8740235460314696519,-0.009070294784580499,0.12912912912912913
19,3,6.0,7676154367508921410,-8401320253136655322,0.006873582766439908,0.05405405405405405
20,3,2.0,5757608619073687118,4017229986919717485,4.606009070294823E-4,0.30030030030030025
21,3,59.333333333333336,5424031222411598870,447160156545029535,NaN,0.17717717717717718
22,3,4.666666666666667,-3267487237892549898,6040980282116648905,-1.4172335600907146E-4,0.08708708708708711
23,3,32.0,3831133625097159772,-9214924209717822380,NaN,0.02702702702702703
24,3,4.666666666666667,1828248098233620321,8210806788719544597,0.005066609977324267,0.08108108108108107
25,3,3.0,3528911419354661329,-1019678342875790662,-0.0031887755102040787,0.23723723723723725
26,3,4.666666666666667,6525010278778239114,1904899496005201406,0.004676870748299322,0.12612612612612614
27,3,28.333333333333332,-2232975659003097760,754498629505171795,NaN,0.06906906906906907
28,3,48.333333333333336,-5545630212601462555,-442684195421718813,NaN,0.009009009009009009
29,3,1.3333333333333333,7562680022696933575,-1323482373371464433,0.005881519274376429,0.44144144144144143
