Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,2,1.5,3474978941519596138,-47632694438125662,0.01419005102040817,0.4054054054054054
1,1,1.0,991636898555423124,-8862567610656013959,0.018813775510204106,0.5225225225225225
2,1,1.0,-5414766030086327640,-4748511106033463246,0.0267857142857143,0.5405405405405406
3,2,1.5,6930887194672779829,7139009018505309638,0.04512117346938775,0.481981981981982
4,2,1.5,-8256430099923060231,8746318455353325065,0.027210884353741496,0.44594594594594594
5,2,1.5,-6024625572839028530,-6402278405251868616,0.022055697278911556,0.4054054054054054
6,1,1.0,-2359855207081587903,1924569645805564070,0.04464285714285715,0.5675675675675675
7,3,2.0,-6268798972068718063,5666737837205097792,-0.0022321428571428527,0.2882882882882883
8,4,2.25,-4621698164188052490,-1065418455797879856,0.00709502551020409,0.28603603603603606
9,3,2.0,4063044638576489049,-1472033150402519278,0.01707766439909298,0.33933933933933935
10,3,1.6666666666666667,7411288001878369506,-8483329623621881823,0.02012471655328799,0.41141141141141135
11,2,1.5,-8236232657681136113,3188276407639069644,0.026945153061224487,0.4009009009009009
12,4,1.5,-5256175309773075673,-7362168482330216504,0.01751169217687075,0.38513513513513514
13,1,1.0,-2551648714084459442,-8869738125396209187,0.03869047619047622,0.5585585585585585
14,2,2.0,6289942974578013572,8124337983406361481,0.019664115646258515,0.3333333333333333
15,1,1.0,1177980056998436810,8835315421037325988,0.0267857142857143,0.5405405405405406
16,3,1.6666666666666667,3888796679377017302,1905091301043219464,0.013215702947845806,0.35135135135135137
17,1,1.0,5689868424050448877,-2864223538246843561,0.03273809523809523,0.5495495495495496
18,2,1.5,-4470339072746074400,8740235460314696519,0.04203869047619048,0.4594594594594595
19,2,2.0,7676154367508921410,-8401320253136655322,0.036564625850340135,0.3648648648648649
20,2,1.5,5757608619073687118,4017229986919717485,0.02806122448979593,0.42342342342342343
21,3,2.0,5424031222411598870,447160156545029535,0.012223639455782314,0.2942942942942943
22,2,2.0,-3267487237892549898,6040980282116648905,0.03693664965986394,0.42792792792792794
23,2,2.0,3831133625097159772,-9214924209717822380,0.022640306122448967,0.33783783783783783
24,2,1.5,1828248098233620321,8210806788719544597,0.009194302721088444,0.3918918918918919
25,4,1.75,3528911419354661329,-1019678342875790662,0.010496386054421762,0.3626126126126126
26,1,1.0,6525010278778239114,1904899496005201406,0.03869047619047622,0.5585585585585585
27,3,2.3333333333333335,-2232975659003097760,754498629505171795,0.008928571428571438,0.29129129129129133
28,1,2.0,-5545630212601462555,-442684195421718813,0.041666666666666664,0.3963963963963964
29,3,2.0,7562680022696933575,-1323482373371464433,0.019699546485260778,0.33933933933933935
