Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,3,6.333333333333333,976340229801220493,-6645195634224055921,0.013995181405895687,0.3723723723723724
1,3,9.0,-7910174600741877041,-1826543674551077437,0.016475340136054416,0.3483483483483483
2,3,7.333333333333333,-986803214068069614,3070473492586687027,0.012046485260770984,0.3753753753753754
3,3,7.666666666666667,-5185477647917593678,-1111305404913339007,0.025687358276643996,0.24324324324324328
4,3,4.0,1460570171212168923,2953302459731026676,0.015518707482993202,0.5195195195195196
5,3,5.666666666666667,-7550282398100885007,5590341096169128848,0.024234693877551023,0.21921921921921925
6,3,5.333333333333333,594727344823564867,2676569070171238257,0.019805839002267584,0.4684684684684685
7,3,4.666666666666667,6535692512511528692,4195411412337972173,0.020585317460317464,0.4894894894894895
8,3,6.666666666666667,-8118647211626895026,3529749271225437257,0.042304421768707495,0.5045045045045046
9,3,5.333333333333333,-5943115126710776622,-4309080738527851900,0.05055980725623582,0.5705705705705706
10,3,4.666666666666667,7354758028696582856,4955385334122564868,0.018778344671201826,0.29429429429429427
11,3,5.0,-1644366302335475432,6295609208121257712,0.027140022675736977,0.37837837837837834
12,3,7.333333333333333,1434871719750048430,2828176623216163892,0.02416383219954649,0.3183183183183183
13,3,10.0,-5914735472903460920,-9034512706359606782,0.022073412698412693,0.2972972972972973
14,3,4.666666666666667,1469584125830491853,-5741639504451708457,0.00977891156462586,0.43543543543543545
15,3,8.666666666666666,-8204811084149069148,365736598790012257,0.024234693877551023,0.4414414414414414
16,3,5.333333333333333,-159625262583219799,8985087791877823487,0.03674178004535147,0.3393393393393393
17,3,3.0,1986887483683313836,-8665280936538865998,0.010026927437641737,0.5885885885885885
18,3,5.666666666666667,-2008040158371412065,-1417401272712686156,0.012188208616780058,0.6216216216216216
19,3,10.0,-6867290789522542108,5224382229132059417,0.01661706349206349,0.3723723723723724
20,3,5.0,-8988953479736964531,-5920247411456120807,0.02388038548752835,0.4924924924924925
21,3,4.333333333333333,-5466133510888592551,-6465813851430267138,0.01895549886621317,0.5465465465465466
22,3,4.333333333333333,-3917271009425799631,-4175977774407147060,0.02093962585034013,0.5495495495495496
23,3,4.0,305668928598953830,-4255621452356395501,0.03022250566893424,0.45645645645645644
24,3,4.666666666666667,4078504486488274576,5150878816852799634,0.016723356009070284,0.5015015015015015
25,3,5.666666666666667,-5839132642987942349,509419133980743574,0.00807823129251701,0.36936936936936937
26,3,7.0,7964399402310126488,1241527279684733236,0.011621315192743764,0.41441441441441446
27,3,3.3333333333333335,303018294381507198,-7148707451629714733,0.007192460317460336,0.44144144144144143
28,3,4.333333333333333,-4175036774578788664,7657754789486963107,0.020904195011337872,0.32132132132132135
29,3,6.333333333333333,1047922224785075869,-1121716226742253588,0.007971938775510196,0.4624624624624625
