Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,2,4.5,976340229801220493,-6645195634224055921,0.0044111394557823135,0.08108108108108109
1,1,1.0,-7910174600741877041,-1826543674551077437,0.024978741496598622,0.5675675675675675
2,1,4.0,-986803214068069614,3070473492586687027,-0.0019132653061224487,0.009009009009009009
3,1,1.0,-5185477647917593678,-1111305404913339007,0.036033163265306124,0.44144144144144143
4,2,2.5,1460570171212168923,2953302459731026676,0.01636904761904762,0.27477477477477474
5,2,4.5,-7550282398100885007,5590341096169128848,-7.971938775510191E-4,0.03153153153153153
6,1,1.0,594727344823564867,2676569070171238257,0.01551870748299316,0.963963963963964
7,2,1.5,6535692512511528692,4195411412337972173,-0.004623724489795903,0.38288288288288286
8,1,1.0,-8118647211626895026,3529749271225437257,0.06441326530612242,0.918918918918919
9,1,2.0,-5943115126710776622,-4309080738527851900,0.021471088435374142,0.3063063063063063
10,1,6.0,7354758028696582856,4955385334122564868,0.030718537414965993,0.5405405405405406
11,2,2.5,-1644366302335475432,6295609208121257712,0.004517431972789114,0.0990990990990991
12,2,5.0,1434871719750048430,2828176623216163892,0.0036670918367346927,0.12162162162162163
13,2,2.0,-5914735472903460920,-9034512706359606782,0.020939625850340142,0.38288288288288286
14,2,6.0,1469584125830491853,-5741639504451708457,0.003454506802721091,0.08558558558558559
15,3,4.666666666666667,-8204811084149069148,365736598790012257,-0.0048185941043083925,0.07207207207207207
16,2,8.5,-159625262583219799,8985087791877823487,0.0020195578231292518,0.009009009009009009
17,4,1.5,1986887483683313836,-8665280936538865998,0.005102040816326543,0.36486486486486486
18,2,2.0,-2008040158371412065,-1417401272712686156,0.00845025510204082,0.43243243243243246
19,2,6.0,-6867290789522542108,5224382229132059417,-0.0014880952380952397,0.08108108108108109
20,1,2.0,-8988953479736964531,-5920247411456120807,0.042198129251700654,0.8198198198198198
21,1,1.0,-5466133510888592551,-6465813851430267138,0.04623724489795916,0.8378378378378378
22,1,2.0,-3917271009425799631,-4175977774407147060,0.011160714285714293,0.22522522522522523
23,1,1.0,305668928598953830,-4255621452356395501,0.003932823129251687,0.6666666666666666
24,3,6.0,4078504486488274576,5150878816852799634,-0.006200396825396821,0.17117117117117117
25,1,2.0,-5839132642987942349,509419133980743574,0.015412414965986394,0.6126126126126126
26,2,4.0,7964399402310126488,1241527279684733236,0.0040391156462585035,0.018018018018018018
27,6,8.333333333333334,303018294381507198,-7148707451629714733,4.7831632653061316E-4,0.02552552552552552
28,2,1.0,-4175036774578788664,7657754789486963107,0.014562074829931973,0.9684684684684686
29,2,1.5,1047922224785075869,-1121716226742253588,0.01296768707482993,0.6981981981981982
