Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,3,391.0,-7043758742217982857,,NaN,0.0
1,3,358.0,8707954276765923475,,NaN,0.0
2,3,382.3333333333333,4662079647706855674,,NaN,0.0
3,3,378.3333333333333,-4802810422631167565,,NaN,0.0
4,3,385.0,3996895840604163169,,NaN,0.0
5,3,395.3333333333333,7248772592320880373,,NaN,0.0
6,3,406.0,-583284472280717930,,NaN,0.0
7,3,388.0,5450613601987745598,,NaN,0.0
8,3,373.3333333333333,2465215686545525737,,NaN,0.0
9,3,392.0,-5925965430943097785,,NaN,0.0
10,3,393.6666666666667,4073465034293261895,,NaN,0.0
11,3,389.3333333333333,5500982552707870460,,NaN,0.0
12,3,373.3333333333333,-8087152709295267412,,NaN,0.0
13,3,348.6666666666667,2463345219707692294,,NaN,0.0
14,3,393.0,-1573151565400991018,,NaN,0.0
15,3,371.0,6575360535712148390,,NaN,0.0
16,3,373.6666666666667,8545452842038112058,,NaN,0.0
17,3,353.0,4559753183287092164,,NaN,0.0
18,3,361.3333333333333,-7717894359530931909,,NaN,0.0
19,3,383.0,-340603513212638393,,NaN,0.0
20,3,356.3333333333333,7203957500691921817,,NaN,0.0
21,3,404.6666666666667,-7368748405856802905,,NaN,0.0
22,3,389.3333333333333,7591611675976974375,,NaN,0.0
23,3,364.0,-8780158238612052545,,NaN,0.0
24,3,351.6666666666667,-9186212156855358016,,NaN,0.0
25,3,389.3333333333333,1412406304787882727,,NaN,0.0
26,3,371.3333333333333,2476015689387133307,,NaN,0.0
27,3,384.3333333333333,3685151638898250562,,NaN,0.0
28,3,361.0,3374496202386331421,,NaN,0.0
29,3,400.6666666666667,-4440044104520074924,,NaN,0.0
