Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,11,4.545454545454546,2312933556503922202,,0.06795957019171307,0.9140049140049142
1,21,4.333333333333333,1623746624195371394,,0.06337058632977002,0.9167739167739167
2,19,4.368421052631579,-300199885222706728,,0.061800707124955265,0.914651493598862
3,13,3.6923076923076925,9063969861145831604,,0.061404369440083734,0.9216909216909218
4,20,5.4,-7883181465040776146,,0.07454294217687077,0.9027027027027026
5,22,5.136363636363637,-1708826431225653022,,0.07024002782931356,0.8914823914823916
6,30,5.166666666666667,-3740374691696036127,,0.0723497732426304,0.8753753753753754
7,24,4.791666666666667,-8746758384182436901,,0.06457270408163267,0.8903903903903906
8,22,4.454545454545454,7159032622376190461,,0.05783279220779223,0.9246519246519248
9,24,5.291666666666667,6539035543309269594,,0.06545404620181407,0.9009009009009009
10,15,4.266666666666667,5181336176327918308,,0.0685374149659864,0.9069069069069068
11,23,5.521739130434782,8290769300737334066,,0.07285196687370603,0.871132001566784
12,23,4.565217391304348,2232469074020348073,,0.0654946761313221,0.8993341167254209
13,16,3.75,-4300740649983311417,,0.06305139243197282,0.9172297297297297
14,37,4.594594594594595,6671740661224657310,,0.060359785806214386,0.9254930606281957
15,15,4.4,6212941679649914816,,0.062372448979591835,0.9063063063063063
16,21,4.476190476190476,-5744366105306978773,,0.06644294622610951,0.897897897897898
17,19,5.052631578947368,8175914097437445626,,0.05725810060866452,0.9165481270744428
18,19,4.684210526315789,-2643185762346963743,,0.06091120658789834,0.9217638691322901
19,29,4.896551724137931,6644007860430012607,,0.06451955782312928,0.9139484311898107
20,24,4.75,8069379550636282830,,0.07101668792517006,0.8716216216216216
21,17,4.588235294117647,1631485365346339639,,0.06232492997198881,0.9178590355060944
22,29,4.275862068965517,-3297336317027570926,,0.06727216748768473,0.8863000931966452
23,20,4.75,-7135761183860324834,,0.07192814625850343,0.8761261261261261
24,24,3.9166666666666665,1943110398027754674,,0.06907684948979592,0.8761261261261261
25,22,4.409090909090909,-2083284686637568585,,0.06652462121212123,0.8980343980343981
26,15,5.533333333333333,2235787899877813675,,0.06979875283446711,0.8984984984984986
27,13,3.6923076923076925,-514998872219661569,,0.05838729722658294,0.9230769230769229
28,22,4.636363636363637,-2560420691191673782,,0.07689297309833026,0.8828828828828826
29,18,5.555555555555555,4613152192813202470,,0.07167658730158731,0.8723723723723724
