Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,10,5.400000,2312933556503922202,6963837467373399994,0.049681,0.221622
1,10,4.200000,1623746624195371394,1096390368290377786,0.045642,0.203604
2,10,4.400000,-300199885222706728,-1421910343069455138,0.049075,0.218919
3,10,5.700000,9063969861145831604,-8944237770591983067,0.040593,0.181081
4,10,5.900000,-7883181465040776146,-6606985907269639071,0.051095,0.227928
5,10,5.100000,-1708826431225653022,2316138845754793689,0.040593,0.181081
6,10,4.600000,-3740374691696036127,-7284610565147759094,0.048267,0.215315
7,10,4.900000,-8746758384182436901,7318388547816604361,0.031101,0.138739
8,10,5.000000,7159032622376190461,-1732094845756218028,0.048873,0.218018
9,10,4.700000,6539035543309269594,3616596849964882586,0.047056,0.209910
10,10,5.600000,5181336176327918308,601809425840712509,0.048119,0.223423
11,10,4.600000,8290769300737334066,-4039716585862569190,0.033323,0.148649
12,10,5.100000,2232469074020348073,-3266542974551674530,0.046248,0.206306
13,10,5.900000,-4300740649983311417,2704554310021489776,0.051297,0.228829
14,10,5.900000,6671740661224657310,3152364403969286715,0.049883,0.222523
15,10,5.500000,6212941679649914816,-8510761112334383979,0.038372,0.171171
16,10,5.400000,-5744366105306978773,-3330031700413498660,0.039381,0.175676
17,10,5.900000,8175914097437445626,8508625769853275394,0.033727,0.150450
18,10,4.800000,-2643185762346963743,4980229899357874588,0.045238,0.201802
19,10,5.200000,6644007860430012607,7191604278756956075,0.049075,0.218919
20,10,4.300000,8069379550636282830,2297188352429819456,0.039583,0.176577
21,10,4.200000,1631485365346339639,5647604671404627755,0.033929,0.151351
22,10,5.800000,-3297336317027570926,5486958035457062730,0.042815,0.190991
23,10,4.600000,-7135761183860324834,9172839178612780608,0.043622,0.194595
24,10,5.700000,1943110398027754674,1773753092532099215,0.043824,0.195495
25,10,4.400000,-2083284686637568585,3844324058794707576,0.047662,0.212613
26,10,4.600000,2235787899877813675,8177435076290705159,0.035746,0.159459
27,10,4.400000,-514998872219661569,7094231686076741164,0.046450,0.207207
28,10,4.300000,-2560420691191673782,-6687874027242539548,0.035140,0.156757
29,10,4.800000,4613152192813202470,1243376379742508461,0.036958,0.164865
