Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,10,4.700000,-2091781416315349196,,0.064020,0.285586
1,10,4.100000,-8521239748196121270,,0.053518,0.238739
2,10,5.900000,-7566401908741690337,,0.065838,0.293694
3,10,7.600000,-89773468390580512,,0.089870,0.400901
4,10,5.400000,-8256524777413992071,,0.071492,0.318919
5,10,3.900000,3328494796473223585,,0.047258,0.210811
6,10,5.600000,2612882295546988440,,0.067453,0.300901
7,10,4.800000,-5163372958789919374,,0.054528,0.243243
8,10,7.200000,3385433343347530987,,0.075531,0.336937
9,10,5.700000,-3847339608244300013,,0.066645,0.297297
10,10,5.100000,-4101125305519763887,,0.067453,0.300901
11,10,5.600000,819175930059211411,,0.063414,0.282883
12,10,4.500000,217785903735433383,,0.060991,0.272072
13,10,5.800000,4042834825420675334,,0.075531,0.336937
14,10,5.200000,3616132071585107875,,0.068463,0.305405
15,10,4.900000,1590451393687422326,,0.068261,0.304505
16,10,4.600000,5363121094897192416,,0.055134,0.245946
17,10,4.200000,7895803878238913815,,0.062404,0.278378
18,10,4.200000,-3647089645581086152,,0.055134,0.245946
19,10,5.000000,-4442192648761502019,,0.066241,0.295495
20,10,6.100000,-5767197059687895463,,0.078965,0.352252
21,10,4.400000,4681259504429559186,,0.064020,0.285586
22,10,5.100000,9171473416695245458,,0.069473,0.309910
23,10,4.500000,1581655030637107971,,0.063010,0.281081
24,10,6.500000,-4468010979168714002,,0.081186,0.362162
25,10,5.200000,-4063388110868880390,,0.066241,0.295495
26,10,6.400000,3878992242685108611,,0.075733,0.337838
27,10,4.800000,-6092926502412241582,,0.052912,0.236036
28,10,6.100000,3844331254771067403,,0.069877,0.311712
29,10,6.300000,-6615776650209891449,,0.064626,0.288288
