Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,10,4.500000,4357829094847460194,,0.077714,0.485714
1,10,4.300000,5516181237876660710,,0.077714,0.485714
2,10,4.600000,-4031314496734744364,,0.076952,0.480952
3,10,4.400000,8959970654835835282,,0.076190,0.476190
4,10,4.500000,-2661287289439107155,,0.076952,0.480952
5,10,4.600000,1159523101284819932,,0.076952,0.480952
6,10,4.400000,6670945609416912068,,0.077714,0.485714
7,10,4.700000,-4122614407145035126,,0.077714,0.485714
8,10,4.300000,-6044811859908316477,,0.078476,0.490476
9,10,4.600000,7001725640411585609,,0.074667,0.466667
10,10,4.300000,-1700739888433631511,,0.076952,0.480952
11,10,4.500000,2427429775464536343,,0.078476,0.490476
12,10,4.500000,9178379743920317962,,0.077714,0.485714
13,10,4.200000,7999397004433864933,,0.076952,0.480952
14,10,4.200000,8078511059438339547,,0.077714,0.485714
15,10,4.100000,-8518841945953275785,,0.076952,0.480952
16,10,4.500000,-8475379806200697236,,0.077714,0.485714
17,10,4.500000,7501792551306109071,,0.076952,0.480952
18,10,4.400000,7716343785971470324,,0.078476,0.490476
19,10,4.600000,7339507497671603017,,0.078476,0.490476
20,10,4.600000,3005304196960280788,,0.077714,0.485714
21,10,4.400000,4782130383769119688,,0.077714,0.485714
22,10,4.800000,-6428938404581625898,,0.077714,0.485714
23,10,4.600000,-8959364547529831406,,0.078476,0.490476
24,10,4.200000,5141059719838914229,,0.078476,0.490476
25,10,4.700000,-6479274561368607432,,0.078476,0.490476
26,10,4.600000,1334775086468059361,,0.078476,0.490476
27,10,4.600000,-3606722459112462918,,0.078476,0.490476
28,10,4.800000,-7047456612054664574,,0.076952,0.480952
29,10,4.400000,166882554411530792,,0.077714,0.485714
