Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,100,2788.5,-7240348996590834719,,NaN,0.0
1,100,2797.26,-5311242831059256485,,NaN,0.0
2,100,2767.4,7133267839299909563,,NaN,0.0
3,100,2771.99,-4879770653013578426,,NaN,0.0
4,100,2794.54,-7978032600194138122,,NaN,0.0
5,100,2781.65,-1706805836430481502,,NaN,0.0
6,100,2783.26,5597175164159858910,,NaN,0.0
7,100,2784.11,2308274237443303783,,NaN,0.0
8,100,2785.12,5796021815880667158,,NaN,0.0
9,100,2778.35,-7872638020691053655,,NaN,0.0
10,1,6.0,5196582072723136751,,0.0038095238095238087,0.047619047619047616
11,100,2785.35,5181566153864349709,,NaN,0.0
12,100,2785.38,-911983138636948996,,NaN,0.0
13,100,2782.93,-9160245594678502793,,NaN,0.0
14,100,2794.79,6924204159067555813,,NaN,0.0
15,100,2777.6,8365669357447244296,,NaN,0.0
16,100,2778.24,3419465013329475963,,NaN,0.0
17,1,2.0,-434629981971614393,,-0.009523809523809525,0.19047619047619047
18,100,2779.44,8854165114489647373,,NaN,0.0
19,100,2777.18,2032032855639653789,,NaN,0.0
20,1,3.0,7228670512627652345,,0.02285714285714286,0.23809523809523808
21,100,2772.86,4632759219560893958,,NaN,0.0
22,100,2781.46,8634985996155453829,,NaN,0.0
23,100,2775.47,5238685447327365381,,NaN,0.0
24,100,2784.79,-5112783292783499793,,NaN,0.0
25,100,2781.18,8558643142744130008,,NaN,0.0
26,100,2797.93,-8353632230263879998,,NaN,0.0
27,1,2.0,-4193303632596949779,,0.020952380952380948,0.38095238095238093
28,100,2783.22,1007458335645561706,,NaN,0.0
29,100,2764.95,-7073872138731293804,,NaN,0.0
